Date,Open,High,Low,Close,ind
31-December-2018,36239.19,36285.46,36033.95,36068.33,1237
28-December-2018,35911.99,36194.78,35911.99,36076.72,1236
27-December-2018,36002.11,36041.24,35781.95,35807.28,1235
26-December-2018,35443.16,35711.26,35010.82,35649.94,1234
24-December-2018,35859.66,35910.67,35423.24,35470.15,1233
21-December-2018,36449.27,36483.49,35694.74,35742.07,1232
20-December-2018,36321.18,36475.52,36202.9,36431.67,1231
19-December-2018,36441.46,36554.99,36381.87,36484.33,1230
18-December-2018,36226.38,36375.38,36046.52,36347.08,1229
17-December-2018,36129.13,36312.31,36123.62,36270.07,1228
14-December-2018,35960.19,36019.02,35813.85,35962.93,1227
13-December-2018,36024.88,36095.56,35794.51,35929.64,1226
12-December-2018,35277.84,35826.58,35167.47,35779.07,1225
11-December-2018,34584.13,35207.33,34426.29,35150.01,1224
10-December-2018,35204.66,35246.97,34915.77,34959.72,1223
7-December-2018,35494.86,35730.05,35378.27,35673.25,1222
6-December-2018,35694.25,35707.23,35266.76,35312.13,1221
5-December-2018,36035.65,36048.65,35777.81,35884.41,1220
4-December-2018,36290.48,36295.84,36036.39,36134.31,1219
3-December-2018,36396.69,36446.16,36099.68,36241,1218
30-November-2018,36304.43,36389.22,36082.97,36194.3,1217
29-November-2018,35997.29,36253.85,35946.24,36170.41,1216
28-November-2018,35635.52,35822.16,35605.34,35716.95,1215
27-November-2018,35394.77,35555.16,35262.97,35513.14,1214
26-November-2018,35118.09,35397.24,34896.07,35354.08,1213
22-November-2018,35282.33,35364.5,34937.98,34981.02,1212
21-November-2018,35492.62,35494.25,35112.49,35199.8,1211
20-November-2018,35730.77,35731.67,35416.18,35474.51,1210
19-November-2018,35647.62,35818.83,35511.1,35774.88,1209
16-November-2018,35398.7,35545.85,35324.37,35457.16,1208
15-November-2018,35145.75,35402,35118.42,35260.54,1207
14-November-2018,35330.14,35351.88,34986.86,35141.99,1206
13-November-2018,34846.19,35187.75,34672.2,35144.49,1205
12-November-2018,35287.49,35333.22,34756.8,34812.99,1204
9-November-2018,35258.13,35287.29,35011.23,35158.55,1203
7-November-2018,35301.88,35302.25,35183.17,35237.68,1202
6-November-2018,35076.24,35196.03,34889.72,34991.91,1201
5-November-2018,35118.62,35123.41,34811.6,34950.92,1200
2-November-2018,34743.95,35190.2,34649.8,35011.65,1199
1-November-2018,34650.63,34679.93,34303.38,34431.97,1198
