Date,INDUS IND,HCL,SBIN,ITC,INFY,BAJAJFINSV,MARUTI,AXISBANK,TATA STEEL,TCS
2014-01-01,371.802063,324.772705,145.224609,187.210205,385.396912,676.685364,1528.400635,215.412643,289.680573,958.316101
2014-02-01,385.02536,350.42392,145.805298,188.592239,397.976227,715.770813,1482.558716,243.571823,279.838806,975.737244
2014-03-01,485.532043,309.177979,182.606461,203.247757,341.58017,785.885986,1842.473511,281.005219,320.344513,913.68042
2014-04-01,464.026001,312.101929,199.66983,196.222351,330.990509,823.230835,1792.565674,292.309265,325.834717,939.932678
2014-05-01,517.161316,316.028961,244.133194,196.654221,306.436096,848.243652,2121.078369,353.293671,386.349213,920.52771
2014-06-01,553.295288,333.688416,259.454529,187.095032,342.852295,930.392639,2278.885986,369.696594,429.70163,1038.696045
2014-07-01,546.400452,346.69873,235.676758,208.833496,355.446045,938.199707,2359.401855,380.903534,450.117096,1117.072998
2014-08-01,569.16925,363.521851,237.676346,208.217926,379.556458,1046.323608,2602.258301,386.201294,426.212555,1111.295898
2014-09-01,603.736755,385.451508,235.927917,217.363922,395.783173,1125.384399,2876.382813,367.246033,381.18866,1205.319946
2014-10-01,700.954773,360.711243,260.975983,208.27655,427.866943,1063.112305,3133.575684,426.493347,406.128204,1146.48877
2014-11-01,732.840759,375.000244,310.516632,212.820236,463.924988,1146.058838,3131.463867,467.611664,392.807739,1165.810181
2014-12-01,782.571106,360.064728,301.243164,215.986176,419.5625,1306.671509,3124.141602,488.025024,331.434113,1126.819214
2015-01-01,849.317078,404.769684,299.456085,216.103394,456.076111,1437.0448,3421.649902,572.254517,324.047729,1094.311523
2015-02-01,842.05249,456.513672,289.747925,230.87767,482.384033,1413.929199,3384.948486,551.306458,291.348328,1177.271362
2015-03-01,860.530884,443.909576,257.91861,190.805359,471.794952,1384.387207,3472.337891,544.745056,262.964569,1125.694824
2015-04-01,803.438416,398.528534,260.864868,188.92926,413.432495,1422.746948,3503.125488,551.986877,299.191193,1090.160767
2015-05-01,852.92511,460.53772,268.689392,191.567505,430.460175,1517.500732,3553.250244,568.900818,272.633301,1153.781372
2015-06-01,850.340942,419.231293,257.067352,184.708023,419.455994,1520.489746,3775.94751,543.043945,252.880905,1127.970703
2015-07-01,953.263367,453.619141,264.501617,195.068115,465.870453,1839.074585,4064.773193,557.722107,205.242691,1119.630493
2015-08-01,835.568176,442.240021,241.709854,194.529922,473.281677,1812.578247,3911.865479,496.503082,192.263,1146.740234
2015-09-01,922.67041,449.417236,232.074722,196.682724,501.478943,1726.507202,4428.018555,485.577454,181.028809,1156.776001
2015-10-01,892.216614,397.893158,232.025803,200.151123,490.934662,1951.059937,4200.777344,465.392059,210.801575,1116.364746
2015-11-01,914.102234,401.274933,244.986771,205.234161,474.691833,1931.910889,4321.692383,459.414795,196.534576,1064.275635
2015-12-01,948.619751,393.726776,219.50502,195.905319,481.71344,1981.528809,4358.189453,440.454163,221.736771,1097.549927
2016-01-01,907.639404,398.582458,176.024628,191.061523,508.011353,1863.891724,3869.145752,399.93631,213.620804,1075.952026
2016-02-01,813.585205,376.602936,154.944717,176.88887,472.642212,1606.177246,3061.926758,367.698395,212.809204,984.151245
2016-03-01,947.49353,377.414124,190.061615,196.174423,531.169067,1699.229858,3511.877197,435.60379,272.95282,1134.870361
2016-04-01,1027.397949,347.884888,184.828308,194.230927,528.072693,1862.710571,3583.500244,462.746338,299.479218,1141.185303
2016-05-01,1080.66748,342.99411,200.381485,210.257355,545.081238,1820.877808,3935.669922,505.223969,285.724823,1161.504761
2016-06-01,1087.571045,341.44046,213.880432,221.356018,510.584381,2315.234375,3951.958984,522.714783,275.003143,1150.544434
2016-07-01,1158.307617,351.699341,226.99646,227.715271,473.82074,2715.242432,4490.246582,535.061218,303.067352,1193.35022
2016-08-01,1165.190674,364.178192,250.285767,234.570618,457.430359,2961.646973,4771.123535,589.121948,323.613983,1148.016968
2016-09-01,1176.35083,376.546539,248.452347,217.883255,458.003967,3068.974609,5209.880371,535.91156,327.064636,1109.019653
2016-10-01,1181.021484,359.832031,255.538254,218.785263,440.069458,3376.081787,5586.509766,481.26709,353.315399,1096.248779
2016-11-01,1071.188721,380.873322,256.083313,210.08075,434.977386,2980.217285,5004.734863,464.601746,362.487854,1043.068115
2016-12-01,1088.937012,392.544373,247.510864,217.342026,450.696228,2889.512695,5061.35791,445.068176,341.653229,1082.101929
2017-01-01,1231.61145,383.743591,257.668976,232.766602,414.39798,3235.207764,5606.668457,460.793915,403.938782,1021.604492
2017-02-01,1291.936035,398.569611,266.786499,236.464874,451.409698,3957.748535,5631.723145,500.602783,421.628571,1133.220337
2017-03-01,1385.88855,417.297577,289.976715,252.971893,455.200073,4081.250244,5728.186035,485.421021,421.628571,1116.956055
2017-04-01,1421.827637,388.595001,286.85495,251.303146,409.983337,4561.32959,6204.750977,504.014984,392.101929,1043.904419
2017-05-01,1454.816895,413.59317,285.962982,281.340454,435.646271,4184.584473,6860.265137,508.564575,441.06546,1168.988281
2017-06-01,1455.209961,409.406586,273.600006,292.119629,417.229614,4109.404785,6863.117676,510.443726,475.527832,1086.28833
2017-07-01,1614.305298,427.792877,312.549988,261.097351,457.876831,4991.689453,7329.080566,513.163574,495.794617,1158.675537
2017-08-01,1635.110229,414.869568,277.350006,258.396179,414.411804,5497.119141,7323.897461,500.029053,567.272339,1163.198608
2017-09-01,1657.269043,421.864807,253.75,236.466385,406.91861,5140.48877,7657.052246,508.168945,578.875671,1135.361694
2017-10-01,1605.894287,412.723175,305.799988,243.654236,417.286896,5018.283691,7891.330078,522.401245,625.644531,1218.895386
2017-11-01,1639.996216,409.056915,320.450012,234.085709,447.578461,5217.398926,8261.259766,535.335205,618.086792,1230.595947
2017-12-01,1628.842651,430.662476,309.5,240.907303,477.120117,5232.231445,9345.547852,561.702515,651.251831,1261.497803
2018-01-01,1731.39502,476.598511,312.75,248.369827,528.238464,4805.134277,9136.958984,592.664063,657.963623,1453.661133
2018-02-01,1658.058716,455.576447,268.75,242.738586,539.072754,5050.89502,8521.371094,528.943115,626.840881,1422.695679
2018-03-01,1772.307251,469.723969,250.100006,234.314606,520.778503,5172.451172,8511.768555,508.768219,532.772705,1334.217773
2018-04-01,1873.576172,509.40448,246.300003,257.709442,550.618591,5476.09375,8473.017578,517.407471,554.983276,1653.618652
2018-05-01,1922.730225,441.186798,269.200012,248.690308,565.538696,6041.327637,8196.579102,542.62616,537.01886,1634.045776
2018-06-01,1914.143188,450.061615,259.299988,248.261078,599.900574,5811.797363,8471.480469,509.766968,529.926453,1744.325684
2018-07-01,1976.10498,468.464233,293.399994,277.328339,631.59137,6977.67334,9129.516602,549.417725,525.260376,1833.137939
2018-08-01,1893.840942,508.109802,308.850006,297.810638,666.294067,6748.853027,8736.585938,648.394836,571.515076,1966.415894
2018-09-01,1678.180786,529.415527,265,276.861725,673.558594,5983.333496,7184.768066,611.590515,551.281921,2066.998047
2018-10-01,1416.961304,511.267334,280.5,261.091705,635.061523,5397.703613,6459.894043,581.178345,524.731873,1833.378418
2018-11-01,1622.972534,494.560577,284.350006,267.110474,623.497864,6001.966309,7491.735352,624.973938,503.691315,1868.532593
2018-12-01,1590.643433,469.281647,295.649994,262.818024,617.276855,6475.545898,7293.997559,619.03125,495.712006,1795.473511
