Date,LICHSGFIN,WIPRO,BIOCOIN,JUBLFOOD,DABUR,CIPLA,LUPIN,ZEEl,VOLTAS,ACC
2014-01-01,177.096634,202.4366,70.011642,527.548096,158.916916,399.48645,847.334717,254.897461,100.984222,897.578979
2014-02-01,186.54361,211.220993,73.641106,508.013763,159.794632,373.901459,954.350342,257.92392,127.063103,979.802551
2014-03-01,213.076447,192.054474,68.100571,525.503418,165.892624,373.269104,902.039551,260.998444,153.18956,1235.619751
2014-04-01,237.53009,184.763062,75.544167,465.989258,165.707825,387.180298,954.085876,251.582733,147.288483,1146.958252
2014-05-01,286.934509,178.745865,70.276634,570.410034,173.237885,373.706848,902.232239,256.146484,177.697968,1189.401978
2014-06-01,295.884247,192.886292,85.10762,644.876709,173.006912,426.044312,1010.710205,280.98288,207.679153,1303.547363
2014-07-01,261.893311,192.426163,75.471893,619.947754,192.014252,443.895477,1139.283813,279.445648,183.027969,1238.239014
2014-08-01,273.419495,201.968369,75.396385,637.289734,215.888321,500.318665,1243.871704,265.047943,232.520706,1338.466919
2014-09-01,294.625916,213.024109,80.790527,606.251648,206.41301,611.466248,1348.204346,304.038391,230.416733,1259.910278
2014-10-01,327.497955,201.27182,72.679031,619.110229,211.033066,651.924377,1323.220581,333.692383,239.564789,1346.722046
2014-11-01,382.511108,209.148376,73.90387,703.824341,225.232727,620.505859,1431.467407,369.731934,257.813263,1319.310181
2014-12-01,394.645721,197.824692,68.980186,677.762268,218.179611,611.563965,1379.712036,368.377472,230.702621,1255.648438
2015-01-01,434.309509,216.578369,67.187546,686.211487,239.292236,680.21582,1531.257202,365.233063,256.240936,1399.796021
2015-02-01,448.481659,235.784729,68.558395,818.541992,247.606506,653.976624,1679.855225,336.981903,244.567642,1500.918823
2015-03-01,395.958771,226.183289,76.166985,728.531616,247.980225,695.021179,1939.79248,330.596375,266.198975,1400.289307
2015-04-01,389.755676,194.028366,73.473953,731.980286,235.368668,622.557983,1713.392456,302.587158,267.342499,1306.07251
2015-05-01,379.024719,202.332809,73.98484,881.677246,253.024811,635.653198,1770.511963,313.278046,317.275665,1374.930298
