Date,Open,High,Low,Price
31-Dec-2018,10913.2,10923.55,10853.2,10862.55
28-Dec-2018,10820.95,10893.6,10817.15,10859.9
27-Dec-2018,10817.9,10834.2,10764.45,10779.8
26-Dec-2018,10635.45,10747.5,10534.55,10729.85
24-Dec-2018,10780.9,10782.3,10649.25,10663.5
21-Dec-2018,10944.25,10963.65,10738.65,10754
20-Dec-2018,10885.2,10962.55,10880.05,10951.7
19-Dec-2018,10930.55,10985.15,10928,10967.3
18-Dec-2018,10850.9,10915.4,10819.1,10908.7
17-Dec-2018,10853.2,10900.35,10844.85,10888.35
14-Dec-2018,10784.5,10815.75,10752.1,10805.45
13-Dec-2018,10810.75,10838.6,10749.5,10791.55
12-Dec-2018,10591,10752.2,10560.8,10737.6
11-Dec-2018,10350.05,10567.15,10333.85,10549.15
10-Dec-2018,10508.7,10558.85,10474.95,10488.45
07-Dec-2018,10644.8,10704.55,10599.35,10693.7
06-Dec-2018,10718.15,10722.65,10588.25,10601.15
05-Dec-2018,10820.45,10821.05,10747.95,10782.9
04-Dec-2018,10877.1,10890.95,10833.35,10869.5
03-Dec-2018,10930.7,10941.2,10845.35,10883.75
30-Nov-2018,10892.1,10922.45,10835.1,10876.75
29-Nov-2018,10808.7,10883.05,10782.35,10858.7
28-Nov-2018,10708.75,10757.8,10699.85,10728.85
27-Nov-2018,10621.45,10695.15,10596.35,10685.6
26-Nov-2018,10568.3,10637.8,10489.75,10628.6
22-Nov-2018,10612.65,10646.25,10512,10526.75
21-Nov-2018,10670.95,10671.3,10562.35,10600.05
20-Nov-2018,10740.1,10740.85,10640.85,10656.2
19-Nov-2018,10731.25,10774.7,10688.8,10763.4
16-Nov-2018,10644,10695.15,10631.15,10682.2
15-Nov-2018,10580.6,10646.5,10557.5,10616.7
14-Nov-2018,10634.9,10651.6,10532.7,10576.3
13-Nov-2018,10451.9,10596.25,10440.55,10582.5
12-Nov-2018,10607.8,10645.5,10464.05,10482.2
09-Nov-2018,10614.7,10619.55,10544.85,10585.2
07-Nov-2018,10614.45,10616.45,10582.3,10598.4
06-Nov-2018,10552,10600.25,10491.45,10530
05-Nov-2018,10558.75,10558.8,10477,10524
02-Nov-2018,10462.3,10606.95,10457.7,10553
01-Nov-2018,10441.7,10441.9,10341.9,10380.45
31-Oct-2018,10209.55,10396,10105.1,10386.6
30-Oct-2018,10239.4,10285.1,10175.35,10198.4
29-Oct-2018,10078.1,10275.3,10020.35,10250.85
26-Oct-2018,10122.35,10128.85,10004.55,10030
25-Oct-2018,10135.05,10166.6,10079.3,10124.9
24-Oct-2018,10278.15,10290.65,10126.7,10224.75
23-Oct-2018,10152.6,10222.1,10102.35,10146.8
22-Oct-2018,10405.85,10408.55,10224,10245.25
19-Oct-2018,10339.7,10380.1,10249.6,10303.55
17-Oct-2018,10688.7,10710.15,10436.45,10453.05
16-Oct-2018,10550.15,10604.9,10525.3,10584.75
15-Oct-2018,10524.2,10526.3,10410.15,10512.5
12-Oct-2018,10331.55,10492.45,10322.15,10472.5
11-Oct-2018,10169.8,10335.95,10138.6,10234.65
10-Oct-2018,10331.85,10482.35,10318.25,10460.1
09-Oct-2018,10390.3,10397.6,10279.35,10301.05
08-Oct-2018,10310.15,10398.35,10198.4,10348.05
05-Oct-2018,10514.1,10540.65,10261.9,10316.45
04-Oct-2018,10754.7,10754.7,10547.25,10599.25
03-Oct-2018,10982.7,10989.05,10843.75,10858.25
01-Oct-2018,10930.9,11035.65,10821.55,11008.3
28-Sep-2018,11008.1,11034.1,10850.3,10930.45
27-Sep-2018,11079.8,11089.45,10953.35,10977.55
26-Sep-2018,11145.55,11145.55,10993.05,11053.8
25-Sep-2018,10969.95,11080.6,10882.85,11067.45
24-Sep-2018,11164.4,11170.15,10943.6,10967.4
21-Sep-2018,11271.3,11346.8,10866.45,11143.1
19-Sep-2018,11326.65,11332.05,11210.9,11234.35
18-Sep-2018,11381.55,11411.45,11268.95,11278.9
17-Sep-2018,11464.95,11464.95,11366.9,11377.75
14-Sep-2018,11443.5,11523.25,11430.55,11515.2
12-Sep-2018,11340.1,11380.75,11250.2,11369.9
11-Sep-2018,11476.85,11479.4,11274,11287.5
10-Sep-2018,11570.25,11573,11427.3,11438.1
07-Sep-2018,11558.25,11603,11484.4,11589.1
06-Sep-2018,11514.15,11562.25,11436.05,11536.9
05-Sep-2018,11514.85,11542.65,11393.85,11476.95
04-Sep-2018,11598.75,11602.55,11496.85,11520.3
03-Sep-2018,11751.8,11751.8,11567.4,11582.35
31-Aug-2018,11675.85,11727.65,11640.1,11680.5
30-Aug-2018,11694.75,11698.8,11639.7,11676.8
29-Aug-2018,11744.95,11753.2,11678.85,11691.9
28-Aug-2018,11731.95,11760.2,11710.5,11738.5
27-Aug-2018,11605.85,11700.95,11595.6,11691.95
24-Aug-2018,11566.6,11604.6,11532,11557.1
23-Aug-2018,11620.7,11620.7,11546.7,11582.75
21-Aug-2018,11576.2,11581.75,11539.6,11570.9
20-Aug-2018,11502.1,11565.3,11499.65,11551.75
17-Aug-2018,11437.15,11486.45,11431.8,11470.75
16-Aug-2018,11397.15,11449.85,11366.25,11385.05
14-Aug-2018,11381.7,11452.45,11370.8,11435.1
13-Aug-2018,11369.6,11406.3,11340.3,11355.75
10-Aug-2018,11474.95,11478.75,11419.65,11429.5
09-Aug-2018,11493.25,11495.2,11454.1,11470.7
08-Aug-2018,11412.5,11459.95,11379.3,11450
07-Aug-2018,11423.15,11428.95,11359.7,11389.45
06-Aug-2018,11401.5,11427.65,11370.6,11387.1
03-Aug-2018,11297.8,11368,11294.55,11360.8
02-Aug-2018,11328.9,11328.9,11234.95,11244.7
01-Aug-2018,11359.8,11390.55,11313.55,11346.2
31-Jul-2018,11311.05,11366,11267.75,11356.5
30-Jul-2018,11296.65,11328.1,11261.45,11319.55
27-Jul-2018,11232.75,11283.4,11210.25,11278.35
26-Jul-2018,11132.95,11185.85,11125.7,11167.3
25-Jul-2018,11148.4,11157.15,11113.25,11132
24-Jul-2018,11109,11143.4,11092.5,11134.3
23-Jul-2018,11019.85,11093.4,11010.95,11084.75
20-Jul-2018,10963.5,11030.25,10946.2,11010.2
19-Jul-2018,10999.5,11006.5,10935.45,10957.1
18-Jul-2018,11060.2,11076.2,10956.3,10980.45
17-Jul-2018,10939.65,11018.5,10925.6,11008.05
16-Jul-2018,11018.95,11019.5,10926.25,10936.85
13-Jul-2018,11056.9,11071.35,10999.75,11018.9
12-Jul-2018,11006.95,11078.3,10999.65,11023.2
11-Jul-2018,10956.4,10976.65,10923,10948.3
10-Jul-2018,10902.75,10956.9,10876.65,10947.25
09-Jul-2018,10838.3,10860.35,10807.15,10852.9
06-Jul-2018,10744.15,10816.35,10735.05,10772.65
05-Jul-2018,10786.05,10786.05,10726.25,10749.75
04-Jul-2018,10715,10777.15,10677.75,10769.9
03-Jul-2018,10668.6,10713.3,10630.25,10699.9
02-Jul-2018,10732.35,10736.15,10604.65,10657.3
29-Jun-2018,10612.85,10723.05,10612.35,10714.3
28-Jun-2018,10660.8,10674.2,10557.7,10589.1
27-Jun-2018,10785.5,10785.5,10652.4,10671.4
26-Jun-2018,10742.7,10805.25,10732.55,10769.15
25-Jun-2018,10822.9,10831.05,10753.05,10762.45
22-Jun-2018,10742.7,10837,10710.45,10821.85
21-Jun-2018,10808.45,10809.6,10725.9,10741.1
20-Jun-2018,10734.65,10781.8,10724.05,10772.05
19-Jun-2018,10789.45,10789.45,10701.2,10710.45
18-Jun-2018,10830.2,10830.2,10787.35,10799.85
15-Jun-2018,10808.65,10834,10755.4,10817.7
14-Jun-2018,10832.9,10833.7,10773.55,10808.05
13-Jun-2018,10887.5,10893.25,10842.65,10856.7
12-Jun-2018,10816.15,10856.55,10789.4,10842.85
11-Jun-2018,10781.85,10850.55,10777.05,10786.95
08-Jun-2018,10736.4,10779.45,10709.05,10767.65
07-Jun-2018,10722.6,10818,10722.6,10768.35
06-Jun-2018,10603.45,10698.35,10587.5,10684.65
05-Jun-2018,10630.7,10633.15,10550.9,10593.15
04-Jun-2018,10765.95,10770.3,10618.35,10628.5
01-Jun-2018,10738.45,10764.75,10681.5,10696.2
31-May-2018,10670.1,10763.8,10620.4,10736.15
30-May-2018,10579,10648.7,10558.45,10614.35
29-May-2018,10689.4,10717.25,10616.1,10633.3
28-May-2018,10648.35,10709.8,10640.55,10688.65
25-May-2018,10533.05,10628.05,10524,10605.15
24-May-2018,10464.85,10535.15,10419.8,10513.85
23-May-2018,10521.1,10533.55,10417.8,10430.35
22-May-2018,10518.45,10558.6,10490.55,10536.7
21-May-2018,10616.7,10621.7,10505.8,10516.7
18-May-2018,10671.85,10674.95,10589.1,10596.4
17-May-2018,10775.6,10777.25,10664.5,10682.7
16-May-2018,10751.95,10790.45,10699.7,10741.1
15-May-2018,10812.6,10929.2,10781.4,10801.85
14-May-2018,10815.15,10834.85,10774.75,10806.6
11-May-2018,10741.95,10812.05,10724.45,10806.5
10-May-2018,10779.65,10785.55,10705,10716.55
09-May-2018,10693.35,10766.25,10689.85,10741.7
08-May-2018,10757.9,10758.55,10689.4,10717.8
07-May-2018,10653.15,10725.65,10635.65,10715.5
04-May-2018,10700.45,10700.45,10601.6,10618.25
03-May-2018,10720.15,10720.6,10647.45,10679.65
02-May-2018,10783.85,10784.65,10689.8,10718.05
30-Apr-2018,10705.75,10759,10704.6,10739.35
27-Apr-2018,10651.65,10719.8,10647.55,10692.3
26-Apr-2018,10586.5,10628.4,10559.65,10617.8
25-Apr-2018,10612.4,10612.6,10536.45,10570.55
24-Apr-2018,10578.1,10636.8,10569,10614.35
23-Apr-2018,10592.8,10638.35,10514.95,10584.7
20-Apr-2018,10560.35,10582.35,10527.45,10564.05
19-Apr-2018,10563.65,10572.2,10546.2,10565.3
18-Apr-2018,10578.9,10594.2,10509.7,10526.2
17-Apr-2018,10557.3,10560.45,10495.65,10548.7
16-Apr-2018,10398.3,10540.15,10396.35,10528.35
13-Apr-2018,10495.3,10519.9,10451.45,10480.6
12-Apr-2018,10410.65,10469.9,10395.25,10458.65
11-Apr-2018,10428.15,10428.15,10355.6,10417.15
10-Apr-2018,10412.9,10424.85,10381.5,10402.25
09-Apr-2018,10333.7,10397.7,10328.5,10379.35
06-Apr-2018,10322.75,10350.45,10290.85,10331.6
05-Apr-2018,10228.45,10331.8,10227.45,10325.15
04-Apr-2018,10274.6,10279.85,10111.3,10128.4
03-Apr-2018,10186.85,10255.35,10171.05,10245
02-Apr-2018,10151.65,10220.1,10127.75,10211.8
