Date,BHEL,COLGATE,DABUR,GODREJ,HAVELLS,MRF,BANK BARODA,PNB,ABBOTT IND,BOSCH
2014-01-01,102.593872,580.394287,158.917694,238.014038,143.544617,19227.451172,103.359444,104.893738,1551.786865,8545.605469
2014-02-01,99.624451,586.53418,160.257401,247.58255,141.719666,18907.886719,105.728653,105.784538,1629.90271,8956.042969
2014-03-01,117.410477,612.85675,165.98587,271.745483,172.153992,21584.566406,138.263474,145.110535,1658.966187,10372.668945
2014-04-01,108.067947,640.630737,165.616287,252.503281,172.694916,20336.181641,156.717804,152.815689,1722.668823,10034.605469
2014-05-01,145.048798,623.352051,174.116516,246.46347,179.926102,22520.265625,161.647903,184.104477,1640.630127,11765.725586
2014-06-01,149.899719,678.052917,173.238785,261.432007,217.3983,23390.332031,168.131851,193.545746,2052.85498,12976.900391
2014-07-01,136.754318,703.964966,192.528687,266.601013,224.125687,23118.503906,169.243103,186.630615,1985.230225,12831.644531
2014-08-01,144.270248,690.435974,216.078049,312.662476,265.856354,23805.755859,169.175156,184.953033,2470.98291,14176.139648
2014-09-01,120.045532,783.229553,206.370346,313.876129,247.75531,32379.771484,175.154037,173.083191,3030.861084,14372.22168
2014-10-01,154.788559,763.516052,211.597427,307.923096,266.978851,31026.107422,180.434067,181.578354,2960.870117,14263.100586
2014-11-01,171.129715,840.662659,225.049973,303.017731,298.831116,33233.546875,211.046738,209.170639,3365.526367,18110.210938
2014-12-01,159.944168,806.470764,218.370438,309.189331,257.577576,37571.445313,210.406143,213.696198,3635.122314,18626.816406
2015-01-01,175.923508,850.919189,239.390045,337.285889,241.768372,39670.410156,187.470917,184.972519,3799.516602,22804.785156
2015-02-01,163.351105,871.584778,247.704422,364.397217,256.22113,40823.589844,175.678146,162.052124,3607.508301,25451.458984
2015-03-01,142.210754,913.868713,248.078125,331.14682,285.547668,38437.554688,158.692703,140.838562,3776.728271,24333.490234
2015-04-01,143.842209,902.027405,235.326233,334.58255,261.740295,36367.921875,164.030991,155.809982,3765.023438,21540.791016
2015-05-01,152.060043,912.582336,252.095261,334.041718,257.951721,35584.453125,157.819168,149.860413,3860.907227,22655.986328
2015-06-01,149.794113,928.954895,261.670868,394.513733,264.406372,33954.285156,139.911621,135.376678,3721.355957,20917.173828
2015-07-01,168.193588,906.229248,274.749725,438.805786,263.841492,40509.289063,176.224548,151,4260.309082,23614.007813
2015-08-01,136.832901,890.266479,255.780472,424.85498,245.927521,40065.851563,183.422455,144.850006,4620.550293,22217.201172
2015-09-01,124.204025,875.783936,258.543884,389.273254,238.459396,41599.875,181.883591,133.25,5467.901367,18619.501953
2015-10-01,120.510147,870.18219,252.689178,402.723877,239.73558,39432.832031,159.048859,128.350006,5370.800293,19647.826172
2015-11-01,106.056213,880.019409,255.312119,394.412811,270.12793,38538.660156,178.6073,144.399994,5021.466797,17980.632813
2015-12-01,102.510895,889.905273,260.640289,421.367004,288.041962,39560.96875,155.524368,115.699997,5784.468262,17909.896484
2016-01-01,84.057121,787.257751,235.889069,391.203186,280.479279,35343.457031,124.498924,91.300003,4874.610352,16803.492188
2016-02-01,55.058323,752.80188,223.184082,379.514587,257.318756,32288.703125,130.952209,71,4606.018555,16074.099609
2016-03-01,68.997131,762.390747,235.183243,441.33255,306.916138,37992.765625,145.94371,84.699997,4528.067871,19961.884766
2016-04-01,75.996841,771.566833,259.557983,422.427002,317.278809,33519.558594,156.765381,86.949997,4455.746582,18885.736328
2016-05-01,73.027267,793.240967,272.639404,473.885986,348.128021,33506.363281,141.773895,79,4527.922363,21463.076172
2016-06-01,77.390732,845.872009,290.473419,514.760315,343.734619,32815.085938,152.843765,105.900002,4442.320801,21752.349609
2016-07-01,88.420586,859.547668,286.636658,509.491852,375.296783,33575.511719,150.60994,123.349998,4490.871094,24080.035156
2016-08-01,84.299538,873.361755,274.362976,485.759491,402.217255,37134.675781,161.779099,127.550003,4518.378418,23300.314453
