Date,INDUS IND,HCL,SBIN,ITC,INFY,BAJAJFINSV,MARUTI,AXISBANK,TATA STEEL,TCS
2014-01-01,410.551605,278.973633,168.042114,181.18808,361.1185,753.762268,1648.029663,248.545654,345.721558,922.961304
2014-01-02,400.573608,277.499207,165.871735,177.419174,361.988342,723.876221,1653.684204,244.889862,341.207336,926.646973
2014-01-03,400.961121,279.594482,163.358658,177.109787,371.437134,724.622192,1680.927734,242.561691,335.595123,952.23114
2014-01-06,400.379852,277.454834,160.650452,177.756699,366.098145,724.87085,1688.96521,241.657364,332.056976,959.773315
2014-01-07,405.707886,278.319519,157.994614,178.178574,360.180847,726.312866,1725.741699,237.491669,321.117157,946.316895
2014-01-08,408.517303,276.977997,157.580521,178.206711,357.170197,728.948425,1718.872437,233.354874,319.043091,956.945129
2014-01-09,403.770447,284.938293,156.0289,177.447327,359.519409,731.534241,1694.245728,227.996246,317.945068,961.508911
2014-01-10,392.290894,288.086884,153.149338,181.384933,369.713104,726.014526,1677.329468,224.071091,312.576813,977.858337
2014-01-13,399.798553,298.18689,156.300201,183.100647,381.88092,713.38385,1666.207764,227.707642,314.081573,1015.784241
2014-01-14,405.514191,293.253265,154.867569,182.341232,384.292633,719.152222,1658.543823,226.216461,304.931183,997.721008
2014-01-15,410.939117,296.102539,156.452499,184.703842,386.553284,720.544617,1681.862549,226.687881,304.931183,1008.905884
2014-01-16,415.104675,308.630524,155.82901,183.213135,388.027344,711.195923,1670.460327,226.45697,309.892731,1007.663696
2014-01-17,410.212555,306.246887,154.405899,182.735016,388.376343,689.266296,1660.927246,221.810257,307.086609,949.510071
2014-01-20,419.706268,317.499878,156.209778,185.744492,390.652588,678.624695,1661.862061,223.493851,304.809204,1002.049377
2014-01-21,420.238983,319.62854,157.885147,185.069473,391.251617,678.326416,1685.133423,228.794754,312.088867,977.365356
2014-01-22,420.723328,321.596161,156.661926,184.169403,392.444489,698.266846,1687.23645,228.361816,319.20578,974.665588
2014-01-23,416.21875,313.880676,157.737595,185.041336,395.121765,683.39856,1677.609985,234.028305,316.521698,966.008728
2014-01-24,401.687622,314.280914,154.396362,182.369354,391.605835,683.000793,1656.628052,232.229263,306.191895,963.437561
2014-01-27,383.039398,316.860199,151.788101,182.510025,388.850372,671.613281,1590.084595,223.186005,287.728516,957.491882
2014-01-28,377.469177,314.292145,151.921387,184.028793,383.058105,676.337219,1460.969238,215.87442,297.77356,950.19342
2014-01-29,368.45993,316.815765,149.798599,182.819382,387.292877,679.072205,1564.850098,219.280075,291.185272,948.583496
2014-01-30,366.280243,318.794647,144.458344,182.566223,385.949005,671.76239,1530.877563,213.565506,281.872223,952.16803
2014-01-31,371.802063,325.676422,145.224609,182.875641,385.396912,676.685364,1528.400635,215.412643,289.680573,960.024231
2014-02-03,370.300507,323.208252,141.821533,180.28804,378.026337,663.060181,1514.708862,216.08609,279.31015,943.045227
2014-02-04,375.62854,312.024017,144.310806,182.819382,371.562195,684.442749,1514.381714,216.124542,279.106812,925.250366
2014-02-05,382.167572,309.967377,144.79628,179.416138,373.114441,680.961853,1501.62439,215.730103,292.201996,940.641174
2014-02-06,377.711334,313.302551,143.192291,182.59436,371.228821,674.99469,1532.372803,212.199387,293.910095,933.64325
2014-02-07,376.306702,310.767761,145.334106,181.919342,371.567413,682.254761,1556.485718,216.60556,312.698822,920.162964
2014-02-10,372.577026,314.936798,144.148972,182.819382,371.754944,678.624695,1578.495483,215.518463,311.112793,898.847778
2014-02-11,374.030151,327.688599,144.548798,182.847504,374.598907,677.431213,1565.55127,215.999496,317.334991,901.981567
2014-02-12,373.448914,331.657532,145.900482,180.175537,374.994843,693.791382,1539.335571,215.345291,304.483826,903.183777
2014-02-13,362.26001,331.190704,142.754395,178.178574,373.624878,679.072205,1529.055054,211.881927,298.790314,916.041443
2014-02-14,365.069305,332.936157,140.417435,179.894257,379.786957,675.492004,1535.877563,212.170517,301.799713,929.994141
2014-02-17,369.42868,334.403656,140.255615,179.978653,381.521484,685.138977,1557.139771,214.604507,303.792511,931.003113
2014-02-18,376.936371,331.235138,142.697296,178.544235,383.370636,701.250427,1597.1875,224.080719,308.266052,929.951111
2014-02-19,379.842651,332.324677,143.61113,178.094193,391.074493,703.886047,1587.514282,224.09996,304.239868,943.818054
2014-02-20,372.528595,327.599762,141.026672,175.394104,386.881348,697.371826,1573.261597,222.570297,298.749664,941.41394
2014-02-21,379.309753,342.030212,143.082809,178.600479,390.840179,698.515503,1565.130615,228.919815,304.117798,946.780273
2014-02-24,386.526917,340.395905,143.811035,179.922363,390.74115,706.173462,1573.308472,237.72258,300.295013,935.124451
2014-02-25,389.142517,344.409393,143.430267,181.075562,394.069611,713.184998,1566.345581,237.655243,293.544037,939.460388
2014-02-26,383.572266,349.734741,144.848633,184.816345,396.27301,715.57196,1553.027588,237.857285,284.068359,936.92749
2014-02-28,385.02536,350.42392,145.805298,184.225693,397.976227,715.770813,1482.558716,243.571823,279.838806,975.737244
2014-03-03,379.987885,334.537109,144.548798,184.872589,395.147919,710.151672,1478.30603,241.243668,280.936829,962.020813
2014-03-04,397.425201,329.467377,147.518753,186.503891,395.861481,723.428833,1493.773682,249.180603,286.101746,962.922119
2014-03-05,402.656372,325.031464,149.784332,187.263306,397.465759,713.582825,1516.297607,251.431793,289.355255,966.013306
2014-03-06,407.79071,331.368622,150.041336,188.275833,399.590942,724.025574,1541.999268,255.578247,296.22818,962.149475
2014-03-07,430.071716,330.001038,156.947525,189.879044,389.720215,718.058228,1622.375,270.70166,301.149048,955.259033
2014-03-10,454.483948,320.729004,161.002686,188.753983,382.615387,719.25177,1683.124146,274.530609,296.268829,920.227417
2014-03-11,457.777618,323.219421,160.887405,187.741425,382.615387,709.107361,1641.067017,272.923981,279.920105,923.039368
2014-03-12,453.27298,324.397919,157.967712,191.650955,382.422607,708.162476,1649.19812,268.998779,276.21936,935.360535
2014-03-13,453.466766,324.119965,158.644791,193.141647,349.773651,709.206787,1632.468628,265.679749,273.941925,924.499023
2014-03-14,453.224548,314.736725,158.80809,195.194839,353.102112,694.537292,1623.49646,260.90802,277.968109,919.218323
2014-03-18,467.465027,314.103119,163.120422,200.201294,348.914185,704.930298,1746.630249,259.493774,277.114075,911.233154
2014-03-19,463.9776,311.735077,163.980026,202.254471,340.819641,701.648315,1748.172241,266.709137,289.802582,876.201477
