Date,INDUS IND,HCL,SBIN,ITC,INFY,BAJAJFINSV,MARUTI,AXISBANK,TATA STEEL,TCS
2014-01-01,405.707886,278.319519,157.994614,178.178574,360.180847,726.312866,1725.741699,237.491669,321.117157,946.316895
2014-01-08,405.514191,293.253265,154.867569,182.341232,384.292633,719.152222,1658.543823,226.216461,304.931183,997.721008
2014-01-15,420.238983,319.62854,157.885147,185.069473,391.251617,678.326416,1685.133423,228.794754,312.088867,977.365356
2014-01-22,377.469177,313.420013,151.921387,184.028793,383.058105,676.337219,1460.969238,215.87442,297.77356,948.50293
2014-01-29,375.62854,312.024017,144.310806,182.819382,371.562195,684.442749,1514.381714,216.124542,279.106812,925.250366
2014-02-05,374.030151,327.688599,144.548798,182.847504,374.598907,677.431213,1565.55127,215.999496,317.334991,901.981567
2014-02-12,376.936371,331.235138,142.697296,178.544235,383.370636,701.250427,1597.1875,224.080719,308.266052,929.951111
2014-02-19,389.142517,344.409393,143.430267,181.075562,394.069611,713.184998,1566.345581,237.655243,293.544037,939.460388
2014-02-26,397.425201,329.467377,147.518753,186.503891,395.861481,723.428833,1493.773682,249.180603,286.101746,962.922119
2014-03-05,457.777618,323.219421,159.460571,187.741425,382.615387,709.107361,1641.067017,272.923981,279.920105,923.039368
2014-03-12,467.465027,314.103119,163.120422,200.201294,348.914185,704.930298,1746.630249,259.493774,277.114075,911.233154
2014-03-19,470.807159,310.567688,167.216675,204.110809,338.741333,709.952759,1778.640259,269.527954,298.261597,921.171692
2014-03-26,482.528931,315.32605,181.959381,198.232468,344.887726,777.780334,1804.855957,282.611847,326.404053,932.655762
2014-04-02,482.81955,312.568787,184.619812,194.379196,342.871918,767.536621,1779.434814,273.549316,330.186249,923.189636
2014-04-09,469.015015,316.726898,188.581589,191.819717,339.6633,763.011475,1796.584595,278.176819,332.178955,966.61438
2014-04-16,482.964874,322.863617,196.826935,197.276184,328.146545,793.543823,1845.137207,288.624664,342.468048,953.198608
2014-04-23,470.371246,315.415802,198.358841,191.454071,331.136414,819.650513,1791.023926,294.021759,329.82019,941.692932
2014-04-30,475.214966,308.492554,197.057434,195.729218,329.631042,817.810608,1784.715332,295.917023,326.038025,944.032715
2014-05-07,517.403564,319.529633,218.619217,203.098267,340.189362,843.917297,1958.177246,317.428406,347.226257,949.055664
2014-05-14,538.909424,291.535431,242.610916,191.988464,324.932678,866.493347,2050.048584,357.064911,379.842255,885.689514
2014-05-21,538.037659,307.277344,252.805923,193.7323,326.479706,903.888123,2155.05127,355.679535,387.772614,914.625183
2014-05-28,524.862854,300.454346,253.872025,187.572693,314.134674,869.278198,2189.631592,365.482819,427.627563,914.560181
2014-06-04,540.846985,310.688782,257.411499,193.202759,323.921875,922.535767,2304.540771,372.409607,454.509308,926.065918
2014-06-11,535.276733,323.989075,256.411682,192.60141,342.936737,911.94397,2259.773438,353.928619,432.792419,987.413513
2014-06-18,556.785339,316.597565,256.904358,183.495361,339.034485,923.928162,2257.67041,374.176849,433.036469,998.747559
2014-06-25,561.46582,334.769714,258.961853,186.215729,340.243744,945.509705,2415.804932,373.331146,440.316101,1036.065552
2014-07-02,538.745911,328.716003,248.910782,192.315079,352.077118,935.315613,2420.618408,367.109955,417.50116,1061.767822
2014-07-09,526.06958,325.795135,243.061737,196.094925,340.634521,920.583374,2355.990479,368.898529,428.034271,1040.312988
2014-07-16,543.767761,340.901367,243.815186,201.507019,341.653625,936.624634,2348.467285,392.247528,466.50589,1097.026978
2014-07-23,537.283264,359.597595,240.554977,204.284653,355.519958,928.006287,2340.616211,384.645996,454.430298,1122.014038
2014-07-30,540.159851,343.900452,238.574722,203.74057,370.078125,950.77301,2492.62915,381.729797,466.17392,1110.393433
2014-08-06,531.822632,341.038147,234.672134,198.72937,377.697723,922.277222,2492.021729,370.93988,449.741241,1088.890503
2014-08-13,552.933716,345.554749,235.681595,199.81752,375.025879,923.622253,2571.275635,386.541504,451.567047,1073.329712
2014-08-20,547.911987,358.913696,240.835144,201.535645,382.365631,1014.888611,2593.986816,386.638702,435.715302,1115.191406
2014-08-27,598.227417,369.396271,243.626831,203.196518,381.409882,1096.091309,2722.307617,397.380005,430.901733,1117.678589
2014-09-03,618.509583,368.677155,248.007568,204.828705,394.637329,1096.988281,2732.39209,407.635345,430.32077,1157.823608
2014-09-10,602.810425,361.171967,247.650177,202.251526,386.162201,1022.51062,2769.798096,387.708008,406.709137,1124.633301
2014-09-17,615.047974,387.372742,246.901535,212.417084,381.54184,1056.037964,2877.18042,388.194031,403.430847,1183.618408
2014-09-24,603.736755,385.451508,235.927917,212.331192,395.783173,1125.384399,2876.382813,367.246033,381.18866,1205.319946
2014-10-01,584.673279,389.046936,228.919662,207.778168,404.511688,1105.855835,2758.439941,363.892426,365.959351,1203.118652
2014-10-08,633.965027,387.29425,243.588181,199.044373,413.842194,1103.813354,2780.169922,386.006897,378.574371,1188.372681
2014-10-15,661.316711,338.184357,249.664246,201.277924,398.587006,1016.183899,2887.224121,411.18335,378.283875,1071.173096
2014-10-22,679.307434,338.654297,256.604919,200.647934,403.774536,1051.155762,2957.342041,412.009613,374.300201,1090.871582
2014-10-29,690.423523,354.243866,262.869293,203.282394,434.685181,1048.16687,3084.061035,432.228546,405.962189,1139.775757
2014-11-05,702.417358,364.373932,264.443878,208.322235,438.947357,1049.760986,3123.15625,453.759796,398.119324,1136.897583
2014-11-12,703.928833,361.034851,283.956818,211.443466,444.518616,1035.463257,3159.388672,460.710083,403.721344,1141.308105
2014-11-19,689.058533,373.127686,294.57785,203.711945,457.954529,1073.175293,3087.674805,456.96759,385.421356,1162.127197
2014-11-26,742.786804,370.442871,307.908447,209.20993,452.926117,1146.258057,3154.742188,478.49884,385.753265,1171.522339
2014-12-03,752.537903,351.908905,296.268311,225.789795,418.200226,1344.981445,3127.849854,474.99939,361.934174,1110.388916
2014-12-10,745.078247,350.690552,285.835632,217.91507,412.421478,1311.404175,3108.09082,458.620087,323.17627,1077.617065
2014-12-17,766.725647,346.561859,296.606384,214.67926,419.541138,1305.924194,3190.129639,480.151337,327.948395,1110.21228
2014-12-24,772.039978,357.876282,299.262878,211.15712,418.540771,1308.166016,3143.853516,484.963043,329.027283,1116.497681
2014-12-31,777.061768,346.494202,289.747925,206.518188,416.508057,1230.450073,3187.266602,485.351868,328.902802,1079.116455
2015-01-07,802.07312,357.188232,294.674438,206.317749,444.263245,1281.11499,3257.290527,488.754059,325.002136,1101.942017
2015-01-14,819.381348,377.121002,307.232239,212.588882,451.734192,1316.884033,3381.897949,536.142273,333.716431,1102.493652
2015-01-21,842.296326,365.648621,318.582611,206.031403,454.639496,1369.591309,3459.149658,575.753906,330.355194,1103.92749
2015-01-28,842.247559,428.718353,289.941132,209.696716,451.308441,1459.612183,3386.779053,570.115906,316.1633,1129.119873
2015-02-04,820.990295,436.47934,277.38327,211.844376,485.35318,1436.745972,3184.450684,538.232178,296.825867,1079.686646
2015-02-11,840.97998,450.32132,296.364899,223.098083,484.970062,1446.360718,3354.770508,555.04895,307.034088,1142.577515
2015-02-18,842.345093,447.97644,286.077179,226.706131,484.895569,1419.807739,3368.474854,536.142273,298.278229,1196.452271
2015-02-25,912.94281,460.22226,292.452667,195.493576,488.982239,1479.489502,3481.395996,615.171082,293.381683,1226.306763
2015-03-04,874.231018,463.077057,277.817963,193.947296,468.282898,1447.855347,3424.513428,569.386902,275.621063,1168.012329
2015-03-11,878.277771,461.762909,273.181213,194.691788,477.190552,1461.754272,3437.842041,563.651672,275.870056,1140.654785
