Date,ONGC,GAIL,BPCL,IOC,NTPC,COALINDIA,ASIANPAINT,POWERGRID,TECHM,TATAMOTORS
2014-01-01,144.469254,79.396332,81.479332,36.068687,86.095573,166.24025,474.72113,79.295456,397.02655,369.242859
2014-01-02,141.259903,78.309814,79.204338,35.593079,84.039749,161.0914,461.23233,81.20813,394.42038,366.682404
2014-01-03,138.301315,77.997742,76.836014,35.186634,82.077362,157.933914,464.984497,80.251778,398.633636,357.179291
2014-01-06,140.88382,77.720337,76.952698,35.376884,82.326553,157.19429,466.076874,79.614227,394.366089,361.364594
2014-01-07,138.526947,78.136436,75.49437,34.54673,80.893715,156.653809,465.411987,78.737602,391.803345,359.542755
2014-01-08,136.997543,79.974258,74.094368,33.811695,80.70681,164.305862,465.934448,78.697746,399.741302,364.61438
2014-01-09,140.557861,80.332581,75.891029,34.391071,83.261032,168.203003,465.554504,78.777458,397.232849,362.349396
2014-01-10,142.438324,79.824005,76.136024,34.711037,81.859344,164.39122,467.359253,77.661736,408.059296,361.413849
2014-01-13,146.87619,79.696846,77.349365,35.861149,82.700333,165.130798,469.30661,78.100044,409.275513,370.424561
2014-01-14,145.547348,79.777763,76.579369,35.644958,81.765869,164.362762,462.989685,77.661736,411.175842,366.140778
2014-01-15,146.324585,80.656219,76.369354,36.241642,82.388855,167.946991,468.78418,77.701576,409.177734,371.557068
2014-01-16,143.892548,81.187927,77.081009,36.708599,82.949547,172.185486,470.779022,78.299286,405.311951,364.121979
2014-01-17,144.168365,81.280396,79.356003,38.931011,81.983917,171.147293,466.931824,77.502342,385.548584,364.072754
2014-01-20,143.992798,80.783379,79.927658,38.870472,82.139671,169.542786,465.459442,78.498512,397.15683,369.193604
2014-01-21,143.917633,79.523476,78.702675,38.931011,81.454391,165.484344,455.247864,77.980499,397.146027,378.942902
2014-01-22,145.321701,79.338547,80.254333,39.562275,82.638054,164.729248,448.930908,78.179749,400.077911,380.223083
2014-01-23,142.964859,81.130127,81.03598,39.423912,81.67244,163.03038,449.310852,78.1399,397.580322,377.761169
2014-01-24,142.012085,80.933624,80.067673,39.40662,81.921616,162.275314,454.155426,78.179749,389.52298,364.762085
2014-01-27,138.903061,79.708427,78.78434,38.671585,80.644516,156.675262,452.540619,76.944489,382.290863,342.949249
2014-01-28,138.025513,79.777763,79.845993,38.688881,80.052689,156.769653,452.920563,76.984337,377.62149,350.827454
2014-01-29,138.903061,79.985817,82.809311,40.746979,79.6166,157.744934,458.715088,76.267075,379.967072,346.395966
2014-01-30,136.496094,80.979874,82.249306,40.971817,79.865807,154.881989,453.585541,76.187393,373.180176,356.243744
2014-01-31,138.17598,82.829254,84.62928,42.433243,81.312637,155.699982,448.075958,76.107704,388.089569,344.229431
2014-02-03,134.289703,84.424339,83.170975,42.389999,81.023277,154.63031,446.366119,75.868614,382.909851,331.279633
2014-02-04,134.389999,81.985466,82.902641,41.992222,83.724052,156.864044,452.160553,75.988159,384.592957,340.585785
2014-02-05,135.518204,83.337822,82.739311,41.179356,85.138741,160.576416,460.187378,77.103874,399.5784,349.694946
2014-02-06,134.339798,82.563408,82.330986,42.614838,85.910385,168.189957,459.807465,76.665558,400.80545,352.206146
2014-02-07,135.04187,82.343781,82.167633,42.55431,87.421539,169.637177,465.934448,77.701576,395.951538,354.717346
2014-02-10,136.521149,82.016022,82.785965,43.15963,86.939247,169.888855,462.609741,77.303116,397.906097,358.508759
2014-02-11,138.376511,81.477501,83.917625,44.690228,84.977966,169.888855,460.092438,76.187393,404.323822,368.799683
2014-02-12,141.961945,83.549553,85.107628,44.456753,84.077721,169.825928,453.442993,76.267075,407.353424,370.916962
2014-02-13,137.147949,82.215019,82.832642,42.286224,83.659737,163.848343,445.321289,75.709236,393.920868,370.227631
2014-02-14,138.602203,84.462685,83.019302,41.525253,85.042282,164.100037,449.120911,75.90847,397.840973,382.882019
2014-02-17,139.279144,85.036293,83.41597,41.654964,86.071136,161.237122,449.54837,76.147552,396.081818,380.715515
2014-02-18,138.802795,83.771988,82.832642,41.21394,86.071136,160.513489,449.405914,76.306923,395.712585,385.442444
2014-02-19,140.106567,84.333908,81.992645,41.680908,85.106583,160.324738,445.036255,75.629539,400.229919,385.540924
2014-02-20,138.501907,83.057892,80.919319,41.127472,84.30278,157.965164,438.481781,75.788925,397.927856,385.88559
2014-02-21,138.877991,83.807091,84.290962,42.035461,85.170898,158.091003,440.761597,75.948326,401.391846,390.169373
2014-02-24,141.510635,85.188469,84.932617,42.208401,75.171577,158.562927,447.221039,75.749084,397.754089,390.514038
2014-02-25,141.284988,83.514435,86.764267,42.796436,74.496399,154.881989,448.408417,75.948326,399.524139,392.434387
2014-02-26,142.137436,86.324005,88.070923,42.891563,74.239189,153.52919,453.253021,75.868614,395.473663,395.093262
2014-02-28,146.098938,86.803986,88.199265,42.952091,72.277916,153.52919,449.310852,75.31076,405.529144,410.603577
2014-03-03,145.722855,86.452774,87.884277,43.349876,71.506248,153.74939,449.263336,75.470139,414.042572,404.4487
2014-03-04,148.355515,89.09845,88.70092,43.76495,73.210312,155.51123,451.780701,77.66729,412.641724,406.615173
2014-03-05,150.687256,87.799034,90.404243,44.136795,73.338921,158.279785,450.83075,77.828842,413.477875,403.365417
2014-03-06,154.87442,89.847679,93.589203,45.736588,75.042976,161.771942,450.783203,78.838562,417.680328,402.23291
2014-03-07,158.509949,90.784195,97.520859,46.22084,74.817917,166.616913,456.910187,79.969437,398.742249,402.873016
2014-03-10,160.415497,89.227234,97.719185,46.48027,75.235901,162.841599,460.567383,79.888649,390.836914,389.972443
2014-03-11,162.020157,86.745445,96.750862,46.679157,75.493111,160.922485,456.625214,79.848274,386.960266,391.892761
2014-03-12,158.936188,86.803986,96.342522,45.797104,75.332359,163.911285,469.544128,79.565552,391.521027,382.931244
2014-03-13,162.546661,86.417664,103.552452,47.73415,74.753609,166.805695,469.021667,79.807892,386.699615,382.094208
2014-03-14,161.84465,87.166885,103.774117,46.523506,75.268044,166.270844,470.68399,79.444389,387.720367,387.264282
2014-03-18,162.947861,86.523026,104.835777,46.402435,75.814636,170.3293,476.478516,81.948479,389.696716,375.44693
2014-03-19,157.356613,84.287079,104.579102,45.183144,74.560699,165.57869,487.355103,82.635086,386.037262,378.499725
2014-03-20,158.359512,82.121361,100.612503,43.773598,74.432083,163.879837,489.777313,80.211792,395.734314,373.920532
2014-03-21,153.645828,82.659866,99.889153,41.871151,73.210312,165.515778,484.552765,81.463814,392.867523,383.226654
2014-03-22,null,null,null,null,null,null,null,null,null,null
2014-03-24,161.017227,86.569847,101.265816,44.128139,73.274628,169.857407,497.661713,83.362076,400.544861,385.540924
2014-03-25,160.415497,86.054764,103.960785,45.269619,74.014122,172.720322,498.991547,85.300743,397.178528,384.900818
2014-03-26,163.123367,87.436142,103.867455,45.511745,73.885506,176.652939,502.601257,84.008301,394.257507,395.536438
2014-03-27,168.178909,88.758965,106.060776,46.696453,75.107292,176.18103,512.052917,85.219955,398.188477,390.661743
2014-03-28,167.365921,89.250648,106.924095,47.569847,77.775902,180.176575,512.812805,86.795113,398.905151,391.252625
2014-03-31,161.929337,88.044876,107.344116,48.711323,77.1007,181.686707,520.507202,84.816063,389.913879,392.582092
2014-04-01,164.520599,87.787331,104.275772,47.379601,78.418953,182.787827,509.773071,87.239388,395.169647,397.013611
2014-04-02,167.670761,88.407768,104.75412,47.889809,79.029831,180.522644,496.616791,87.562492,397.830109,407.796936
2014-04-03,165.765411,86.113297,102.572495,47.293129,79.094162,176.495651,511.625458,87.804817,393.388763,405.088776
2014-04-04,165.460602,84.80217,103.505791,48.702671,77.357925,177.250702,504.121185,86.108513,393.768799,399.32785
2014-04-07,165.435181,85.387482,102.222473,47.43148,76.77919,178.697891,512.527832,86.350838,389.403473,397.850677
2014-04-09,163.834671,87.436142,102.67746,48.5816,77.518692,181.309128,520.269653,86.229675,377.404327,414.493439
2014-04-10,163.580627,88.33754,105.430779,47.941692,79.544281,183.82605,514.380249,87.077827,370.986664,424.242737
2014-04-11,162.589844,86.979584,103.680801,47.059654,80.123024,184.392319,516.470032,86.956673,377.795258,417.152313
2014-04-15,162.259583,86.171822,103.995789,46.065189,80.637451,184.235031,507.730743,87.118225,383.148743,405.679626
2014-04-16,160.836929,86.160118,101.81414,45.1572,78.836914,182.284454,508.110748,86.997047,380.195099,404.891846
2014-04-17,163.783844,87.529793,104.952454,45.6674,79.062004,183.03949,516.517578,86.59317,384.799316,422.568604
2014-04-21,164.164963,87.436142,108.230759,46.047894,80.090858,186.311462,512.195435,85.583458,385.2771,425.522949
2014-04-22,165.816238,88.723839,112.652382,47.68227,79.608574,188.136154,509.535706,85.583458,385.211914,422.273193
2014-04-23,165.638382,89.871086,110.855728,46.80022,78.515411,190.181137,503.076172,85.300743,383.32251,418.580261
2014-04-24,165.638382,89.871086,110.855728,46.80022,78.515411,190.181137,503.076172,85.300743,383.32251,418.580261
2014-04-25,163.072525,88.887733,107.484093,45.580929,76.20047,188.733963,489.159882,85.219955,391.955383,416.807648
2014-04-28,163.275787,86.640091,106.504097,45.823055,75.846779,186.059753,475.48111,85.70462,396.407593,410.111145
2014-04-29,162.742279,86.20694,107.437439,46.047894,75.65387,186.688965,472.678833,85.300743,400.979248,402.725311
2014-04-30,165.181137,86.651779,106.142441,45.563629,74.817917,183.637238,479.850708,85.462288,397.906097,408.437012
2014-05-02,167.315125,86.90934,107.939102,46.298676,73.59613,185.808029,485.835175,84.452576,399.089722,408.437012
2014-05-05,170.41449,87.096649,109.117416,46.558102,73.210312,186.531662,492.627075,84.896858,395.267426,408.141602
