Date,ONGC,GAIL,BPCL,IOC,NTPC,COALINDIA,ASIANPAINT,POWERGRID,TECHM,TATAMOTORS
2014-01-01,138.17598,82.829254,84.62928,42.433243,78.775581,140.780762,448.075958,76.107704,388.089569,344.229431
2014-02-01,146.098938,85.707352,88.199265,42.952091,72.277916,153.52919,449.310852,75.31076,405.529144,410.603577
2014-03-01,159.813736,88.044876,107.344116,48.711323,77.1007,181.686707,520.507202,83.678627,389.913879,392.582092
2014-04-01,165.181137,86.651779,106.142441,45.563629,74.817917,183.637238,479.850708,85.462288,397.906097,408.437012
2014-05-01,192.135483,88.454613,121.775627,62.279232,103.208214,233.376907,482.177979,98.548203,417.636932,408.732483
2014-06-01,215.863464,108.414246,140.092163,59.598515,100.443146,242.217453,564.250854,112.441879,467.371063,424.735107
2014-07-01,200.87468,102.069305,135.367203,57.289627,93.273239,231.36348,601.827454,107.514473,467.067108,439.949921
2014-08-01,221.020599,103.813583,162.001968,62.158157,88.353958,224.064499,597.567261,104.364159,517.950867,519.267761
2014-09-01,207.581543,106.679161,152.9254,64.301117,90.583481,214.783524,602.689026,109.251183,545.722534,496.619965
2014-10-01,205.969589,125.51326,173.311401,64.611618,97.746788,233.156708,630.66333,118.94696,551.859802,529.948853
2014-11-01,192.87886,115.876656,178.452728,64.753563,92.927826,223.372375,714.8479,116.4179,578.67804,527.624695
2014-12-01,173.53508,105.575455,154.479736,58.95155,93.774406,241.52533,722.143188,112.583534,568.485657,490.092651
2015-01-01,181.260712,100.401123,179.074478,61.621887,93.546471,227.053314,823.366089,120.74176,628.752502,578.705933
2015-02-01,167.537842,96.532227,177.974503,59.199959,103.184418,248.698364,774.794556,128.165756,621.573853,568.81604
2015-03-01,158.045334,92.046227,193.888779,65.410057,96.131035,228.343185,778.778076,118.498253,552.100891,544.140808
2015-04-01,158.854034,85.518959,182.876694,64.088196,98.389488,240.880173,731.886292,116.528214,544.779907,508.04425
2015-05-01,172.361847,92.295456,203.298676,63.201035,89.388443,259.672424,755.500244,117.757439,486.080292,481.455017
2015-06-01,161.780273,93.090576,210.281311,68.382042,90.108521,279.72644,725.070862,113.987892,418.919861,433.974243
2015-07-01,142.498322,84.249107,221.616211,76.535004,88.406517,291.546326,852.256165,116.364357,465.300964,383.694611
2015-08-01,125.045273,70.280792,211.201996,73.536415,79.50367,243.270676,819.239319,107.063362,456.909454,340.012299
2015-09-01,119.845963,72.52198,208.766769,71.362885,81.0093,217.5392,812.481628,108.456497,494.482544,298.479126
