Date,ONGC,GAIL,BPCL,IOC,NTPC,COALINDIA,ASIANPAINT,POWERGRID,TECHM,TATAMOTORS
2014-01-01,138.526947,78.136436,75.49437,34.54673,80.893715,156.653809,465.411987,78.737602,391.803345,359.542755
2014-01-08,145.547348,79.777763,76.579369,35.644958,81.765869,164.362762,462.989685,77.661736,411.175842,366.140778
2014-01-15,143.917633,79.523476,78.702675,38.931011,81.454391,149.627579,455.247864,77.980499,397.146027,378.942902
2014-01-22,138.025513,79.777763,79.845993,38.688881,80.052689,156.769653,452.920563,76.984337,377.62149,350.827454
2014-01-29,134.389999,81.985466,82.902641,41.992222,81.111755,156.864044,452.160553,75.988159,384.592957,340.585785
2014-02-05,138.376511,80.448181,83.917625,44.690228,84.977966,169.888855,460.092438,76.187393,404.323822,368.799683
2014-02-12,138.802795,83.771988,82.832642,41.21394,86.071136,160.513489,449.405914,76.306923,395.712585,385.442444
2014-02-19,141.284988,83.514435,86.764267,42.796436,74.496399,154.881989,448.408417,75.948326,399.524139,392.434387
2014-02-26,148.355515,89.09845,88.70092,43.76495,73.210312,155.51123,451.780701,76.62571,412.641724,406.615173
2014-03-05,162.020157,86.745445,96.750862,46.679157,75.493111,160.922485,456.625214,79.848274,386.960266,391.892761
2014-03-12,162.947861,86.523026,104.835777,46.402435,75.814636,170.3293,476.478516,81.948479,389.696716,375.44693
2014-03-19,160.415497,86.054764,103.960785,45.269619,74.014122,172.720322,498.991547,85.300743,397.178528,384.900818
2014-03-26,162.37117,87.787331,104.275772,47.379601,78.418953,182.787827,509.773071,87.239388,395.169647,397.013611
2014-04-02,165.435181,85.387482,102.222473,47.43148,76.77919,178.697891,512.527832,86.350838,389.403473,397.850677
2014-04-09,162.259583,86.171822,103.995789,46.065189,80.637451,184.235031,507.730743,87.118225,383.148743,405.679626
2014-04-16,165.816238,88.723839,112.652382,47.68227,79.608574,188.136154,509.535706,85.583458,385.211914,422.273193
2014-04-23,162.742279,86.20694,107.437439,46.047894,75.65387,186.688965,472.678833,85.300743,400.979248,402.725311
2014-04-30,171.329071,86.581558,109.082397,46.869411,73.499702,186.531662,488.96994,82.796638,391.227844,412.77005
2014-05-07,189.315567,92.118744,118.859024,54.01223,78.96553,208.931839,513.28772,91.157082,395.821167,434.238251
2014-05-14,203.288132,98.791481,130.373901,60.273022,91.47271,230.608353,502.411285,100.890739,384.636475,433.154968
2014-05-21,200.722244,88.79409,129.288925,62.495419,99.124878,247.314117,497.519073,102.506271,402.749207,429.954468
2014-05-28,211.747879,89.344284,133.850525,62.132233,105.587471,247.534363,483.602966,101.173454,412.902405,414.493439
2014-06-04,223.8405,100.348442,143.27713,62.063042,105.169502,264.523224,509.393188,109.816628,435.261047,446.498718
2014-06-11,226.152313,104.176476,142.390488,60.601612,99.607185,251.970383,532.523682,107.837585,440.234467,434.188995
2014-06-18,225.059875,107.583076,135.973831,59.148827,99.575027,246.338837,555.157288,106.949013,433.176147,435.419983
2014-06-25,214.974289,107.887444,137.572189,59.269917,99.414253,241.902832,558.938843,113.088097,458.010651,443.938293
2014-07-02,201.560577,106.646545,133.313873,57.462574,98.385414,237.466827,564.922058,111.270607,457.315613,462.846039
2014-07-09,209.664703,107.746986,135.810501,57.38475,93.6269,229.318512,557.646423,109.170403,447.987793,455.854126
2014-07-16,207.759323,103.181427,135.973831,57.306915,96.359833,243.853409,577.846069,109.655052,463.755096,481.340118
2014-07-23,200.620636,99.353386,134.107224,55.707142,95.845398,229.255585,608.86377,107.59523,475.85202,448.851868
2014-07-30,205.904816,99.259735,138.330505,58.154381,90.475975,227.210632,606.374878,106.98941,479.526489,451.769409
2014-08-06,206.057236,96.801353,137.828812,58.984547,89.704338,229.412888,587.994019,106.827866,474.682373,468.779968
2014-08-13,221.122223,101.179611,157.277008,61.967922,92.533722,232.338699,589.047058,110.301285,484.666473,513.136047
2014-08-20,212.382996,101.694702,155.095398,62.535664,91.820763,224.37915,582.05835,105.818153,515.835693,507.004333
2014-08-27,225.872849,108.859108,164.183609,68.25782,91.299805,228.657776,597.615112,107.029816,527.518494,510.564667
2014-09-03,228.337097,108.874687,161.617004,70.555557,91.56028,239.511826,636.77002,108.281845,534.609436,511.454773
2014-09-10,207.68309,106.465523,155.436234,66.554489,86.057541,216.734116,619.202881,110.911118,531.157166,494.246399
2014-09-17,207.062607,105.231277,155.663422,63.422832,89.150803,210.882416,607.715027,111.359818,542.237366,512.097595
2014-09-24,207.69812,106.679161,156.727554,64.301117,90.583481,214.783524,604.313721,110.340034,545.722534,496.619965
2014-10-01,201.699219,105.255013,155.567749,63.431705,91.59285,214.909409,603.881653,111.971664,551.07074,499.38913
2014-10-08,204.444504,106.204437,156.94278,65.17939,91.625397,216.576828,620.200317,110.992699,519.945435,482.625793
2014-10-15,207.418442,114.191429,164.475449,65.596375,96.086212,223.403854,618.424561,114.1744,510.870911,495.927704
2014-10-22,199.131897,117.811089,167.835251,63.325222,96.216461,224.410583,620.776367,116.254745,519.759216,503.04837
2014-10-29,205.664597,118.52317,173.144028,64.726944,96.183899,226.015091,627.399475,118.171951,565.592285,525.547852
2014-11-05,200.733292,116.280144,183.390854,66.794022,94.946571,217.457733,623.271973,120.456215,576.475098,515.954651
2014-11-12,198.598099,116.375092,172.151611,62.748585,95.597801,221.862244,672.803589,121.027328,569.121277,535.635498
2014-11-19,196.462936,113.277596,169.760284,60.308907,91.267227,218.999313,664.020325,113.480949,574.370789,516.102966
2014-11-26,183.270508,110.073326,170.393997,62.429214,91.462601,223.844284,739.181641,112.624329,582.480896,523.124817
2014-12-03,179.000092,110.263214,161.019989,61.719486,87.880936,227.116226,750.460571,110.095268,572.562561,497.707855
2014-12-10,170.586426,98.146248,154.826431,57.984558,83.550385,230.765717,728.430481,108.545235,555.553223,476.345703
2014-12-17,181.621841,106.18071,155.627533,59.448357,93.09063,241.399445,709.616333,113.44014,563.926331,482.774139
2014-12-24,176.256516,105.397438,155.065567,58.995911,92.439438,240.707336,719.887329,112.298004,572.452942,488.3125
2014-12-31,171.871368,102.513573,152.841644,59.341915,90.648598,239.071381,726.174683,110.788734,555.925781,495.878235
2015-01-07,175.379486,101.623489,160.111267,60.353264,90.485802,227.273544,800.424011,110.829521,605.211365,513.729431
2015-01-14,180.71904,102.383034,154.874268,59.749996,93.025505,240.550034,805.559692,120.252258,614.132263,553.041687
2015-01-21,180.693253,99.487297,165.491776,58.747517,93.220871,240.770248,854.803223,122.332619,617.387268,597.892273
2015-01-28,185.439499,103.035751,173.945084,58.685402,93.774406,224.410583,782.041809,120.089119,639.854492,596.656067
2015-02-04,182.963196,97.315491,166.986328,55.172268,89.313606,231.646591,789.241089,118.3759,605.518127,557.887695
2015-02-11,175.637466,96.366081,173.574463,56.414295,94.265373,237.246628,800.712097,124.616928,635.558411,567.827026
2015-02-18,162.533615,95.891373,181.095169,58.339417,95.967377,241.745544,767.499084,127.880211,611.830933,558.184387
2015-02-25,165.345276,97.066292,186.714767,63.236526,103.888298,238.882614,804.69574,126.901253,637.520081,567.777649
2015-03-04,162.198334,91.037453,182.745193,61.400105,98.160362,246.159256,775.562439,121.149666,622.46167,554.030701
2015-03-11,162.095093,90.088051,179.504913,61.577538,103.331871,240.249298,798.072327,120.994301,627.524902,565.255676
2015-03-18,161.682419,92.568405,177.14949,61.613029,99.960571,245.727631,780.697937,121.240166,578.360168,526.388489
2015-03-25,160.082001,92.046227,193.888779,65.410057,96.131035,240.979767,778.778076,119.027596,552.100891,544.140808
2015-04-01,166.692215,94.977562,190.277878,66.039955,102.317215,238.788422,801.720032,121.240166,572.398193,560.123108
2015-04-08,162.955994,93.814522,195.706192,66.882751,102.971832,260.535706,827.493835,126.484795,582.524841,556.02478
2015-04-15,167.397614,89.257309,191.102875,63.032475,99.07682,248.616196,764.571472,121.977684,558.939697,527.186523
2015-04-22,160.709045,84.949318,182.972397,62.358219,99.044113,247.288086,734.765991,118.372025,533.601135,529.635498
2015-04-29,178.789154,88.61644,185.877853,64.620483,98.520393,241.97583,750.07666,117.306717,534.78479,510.243378
2015-05-06,161.806396,87.168594,173.586411,58.969303,92.727013,245.163208,727.950439,114.151787,540.264587,513.342102
2015-05-13,165.960648,93.019379,187.551743,61.169449,89.093864,241.477768,743.693115,113.70108,542.938721,509.593597
2015-05-20,168.521133,92.164894,186.941956,61.68399,86.737236,249.014633,732.894226,117.224777,561.35083,497.39856
2015-05-27,167.37149,92.331039,202.485596,61.941284,90.304909,254.658951,728.766602,116.774071,481.696594,466.760986
2015-06-03,157.52153,92.746422,203.119308,62.047737,90.992264,266.478851,706.208618,120.748489,473.893219,439.871826
2015-06-10,159.089142,94.657127,196.208359,63.307491,90.108521,263.855927,676.691284,118.08522,483.493896,432.624786
2015-06-17,166.639954,95.843895,205.857391,70.617668,91.155914,275.841797,726.174683,114.233727,485.378815,435.823486
2015-06-24,161.780273,93.090576,210.281311,68.382042,90.108521,279.72644,725.070862,113.987892,418.919861,433.974243
2015-07-01,159.350449,91.251091,222.955383,75.780914,88.013741,284.806335,796.069885,113.578148,413.308594,431.375275
2015-07-08,151.381607,88.557106,221.664047,77.865738,87.12999,288.292511,794.235535,114.88929,418.130768,385.793762
2015-07-15,146.96608,86.634544,227.702118,77.830246,88.766571,284.64032,787.815552,114.725403,446.625732,388.942474
2015-07-22,141.009033,83.537048,225.968445,79.134369,89.715759,279.460815,806.254822,115.83168,459.031982,369.950165
2015-07-29,139.180191,81.875549,223.242279,75.426056,88.471977,294.434937,874.363892,115.544876,480.908325,380.595856
2015-08-05,141.113602,81.745018,221.257446,74.281616,85.624367,260.768127,852.835449,113.045471,479.666321,369.000549
2015-08-12,136.280014,78.267769,214.370499,70.9814,83.300468,241.809799,870.164307,112.59478,499.007324,348.458893
