Date,Expiry Date,Strike Price (K),Call Price,Put Price
01-Jan-14,24-Dec-14,5000,1682.55,98.75
02-Jan-14,24-Dec-14,5000,1599.85,109.25
03-Jan-14,24-Dec-14,5000,1582.5,110.05
06-Jan-14,24-Dec-14,5000,1581.2,115.3
07-Jan-14,24-Dec-14,5000,1541.55,118.4
08-Jan-14,24-Dec-14,5000,1540,115.55
09-Jan-14,24-Dec-14,5000,1530,117.15
10-Jan-14,24-Dec-14,5000,1518.65,116.25
13-Jan-14,24-Dec-14,5000,1605.5,107.2
14-Jan-14,24-Dec-14,5000,1595.15,112.5
15-Jan-14,24-Dec-14,5000,1644.2,104.2
16-Jan-14,24-Dec-14,5000,1663.95,107.15
17-Jan-14,24-Dec-14,5000,1611,113.7
20-Jan-14,24-Dec-14,5000,1655,106
21-Jan-14,24-Dec-14,5000,1640,104.4
22-Jan-14,24-Dec-14,5000,1676.35,104.85
23-Jan-14,24-Dec-14,5000,1682.1,103.05
24-Jan-14,24-Dec-14,5000,1620,109.95
27-Jan-14,24-Dec-14,5000,1507.95,122.55
28-Jan-14,24-Dec-14,5000,1500,128.95
29-Jan-14,24-Dec-14,5000,1480.4,133.75
30-Jan-14,24-Dec-14,5000,1425.65,130.5
31-Jan-14,24-Dec-14,5000,1428.45,133.7
03-Feb-14,24-Dec-14,5000,1371.5,139.95
04-Feb-14,24-Dec-14,5000,1396.5,141.05
05-Feb-14,24-Dec-14,5000,1400.05,141.05
06-Feb-14,24-Dec-14,5000,1414.35,143.25
07-Feb-14,24-Dec-14,5000,1451.4,138.05
10-Feb-14,24-Dec-14,5000,1435,137.05
11-Feb-14,24-Dec-14,5000,1442.3,138.9
12-Feb-14,24-Dec-14,5000,1468,133.05
13-Feb-14,24-Dec-14,5000,1385,144.2
14-Feb-14,24-Dec-14,5000,1438.05,135.65
17-Feb-14,24-Dec-14,5000,1452,135.2
18-Feb-14,24-Dec-14,5000,1490,133.9
19-Feb-14,24-Dec-14,5000,1505.75,133
20-Feb-14,24-Dec-14,5000,1462.7,136.35
21-Feb-14,24-Dec-14,5000,1496.15,133.95
24-Feb-14,24-Dec-14,5000,1524,122.95
25-Feb-14,24-Dec-14,5000,1538.2,120
26-Feb-14,24-Dec-14,5000,1555.4,111.05
28-Feb-14,24-Dec-14,5000,1555.2,98.7
03-Mar-14,24-Dec-14,5000,1544.15,101.2
04-Mar-14,24-Dec-14,5000,1594.85,87.7
05-Mar-14,24-Dec-14,5000,1600.5,78.1
06-Mar-14,24-Dec-14,5000,1658.15,72.45
07-Mar-14,24-Dec-14,5000,1761.95,64.1
10-Mar-14,24-Dec-14,5000,1789,65
11-Mar-14,24-Dec-14,5000,1771.85,68.7
12-Mar-14,24-Dec-14,5000,1785.95,67.1
13-Mar-14,24-Dec-14,5000,1772.35,69.9
14-Mar-14,24-Dec-14,5000,1802,71
18-Mar-14,24-Dec-14,5000,1800.35,67
19-Mar-14,24-Dec-14,5000,1815,66.5
20-Mar-14,24-Dec-14,5000,1778.7,69.95
21-Mar-14,24-Dec-14,5000,1786.35,66
22-Mar-14,24-Dec-14,5000,1780,63.7
24-Mar-14,24-Dec-14,5000,1855.25,60.1
25-Mar-14,24-Dec-14,5000,1861,61.3
26-Mar-14,24-Dec-14,5000,1880,62
27-Mar-14,24-Dec-14,5000,1884.4,58.05
28-Mar-14,24-Dec-14,5000,1929,48.6
31-Mar-14,24-Dec-14,5000,1935,46.3
01-Apr-14,24-Dec-14,5000,1954.75,43.7
02-Apr-14,24-Dec-14,5000,1987.5,41.3
03-Apr-14,24-Dec-14,5000,1976,42.85
04-Apr-14,24-Dec-14,5000,1955,42.8
07-Apr-14,24-Dec-14,5000,1935,45.5
09-Apr-14,24-Dec-14,5000,2012,32.95
10-Apr-14,24-Dec-14,5000,2029.5,34.9
11-Apr-14,24-Dec-14,5000,1995,37.8
15-Apr-14,24-Dec-14,5000,1950,40.25
16-Apr-14,24-Dec-14,5000,1918.95,45.8
17-Apr-14,24-Dec-14,5000,1994.6,39
21-Apr-14,24-Dec-14,5000,2050,39.95
22-Apr-14,24-Dec-14,5000,2033.65,38.9
23-Apr-14,24-Dec-14,5000,2026.65,36.6
25-Apr-14,24-Dec-14,5000,1957.15,36.15
28-Apr-14,24-Dec-14,5000,1946,36.45
29-Apr-14,24-Dec-14,5000,1911,38.2
30-Apr-14,24-Dec-14,5000,1870.75,35.2
02-May-14,24-Dec-14,5000,1906.95,36
05-May-14,24-Dec-14,5000,1924.5,36.15
06-May-14,24-Dec-14,5000,1934,34.7
07-May-14,24-Dec-14,5000,1834.55,32.35
08-May-14,24-Dec-14,5000,1850,32.55
09-May-14,24-Dec-14,5000,2030.5,30.1
12-May-14,24-Dec-14,5000,2194,26.35
13-May-14,24-Dec-14,5000,2276,23.85
