Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,31-Dec-2018,31-Jan-2019,CE,8550,0,0,0,1671.65,0,2366.65,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,8600,2310,2310,2296.85,2296.85,2296.85,2296.85,5,40.88,8.63,54825,-225,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,8650,0,0,0,1678.4,0,2267.3,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,8700,0,0,0,1633.15,0,2217.6,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,8750,0,0,0,1588.25,0,2167.9,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,8800,0,0,0,1543.75,0,2118.2,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,8850,0,0,0,1499.65,0,2068.55,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,8900,0,0,0,1455.95,0,2018.85,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,8950,0,0,0,1412.75,0,1969.2,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,9000,1940,1948,1890,1901.1,1904.05,1901.1,528,4322.49,758.49,1105800,-28575,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,9050,0,0,0,1327.7,0,1869.8,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,9100,0,0,0,1710.8,1710.8,1820.15,0,0,0,6600,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,9150,0,0,0,1244.75,0,1770.45,0,0,0,0,0,10862.55
NIFTY,31-Dec-2018,31-Jan-2019,CE,9200,1701,1712.7,1699.05,1712.7,1712.7,1712.7,5,40.89,6.39,6975,-75,10862.55
