"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"GAIL","31-Dec-2018","31-Jan-2019","PE","240","0","0","0","2.15","0","0","0","0","0","0","0","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","470","0","0","0","122.25","122.25","106.8","0","0","0","5334","0","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","260","0","0","0","4.45","0","0","0","0","0","0","0","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","270","0","0","0","6.1","0","0.05","0","0","0","0","0","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","280","0.2","0.2","0.2","0.2","0.2","0.2","2","14.95",".01","5334","5334","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","290","0","0","0","10.6","0","0.1","0","0","0","0","0","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","300","0","0","0","0.5","0.5","0.3","0","0","0","8001","0","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","310","0","0","0","1.3","1.3","0.7","0","0","0","5334","0","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","320","1.5","2.15","1.5","1.85","1.85","1.85","10","85.84",".5","128016","13335","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","330","3.1","3.8","2.9","3.25","3.2","3.25","28","248.95","2.52","128016","21336","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","340","5.5","6.7","5.35","5.7","5.8","5.7","78","719.88","12.59","154686","13335","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","350","10.05","11","8.8","9.4","9.5","9.4","54","518.25","14.18","216027","5334","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","360","15.3","16.2","13.9","14.65","14.6","14.65","21","209.92","8.29","106680","18669","360.3"
"GAIL","31-Dec-2018","31-Jan-2019","PE","370","22.35","23","22","22","22","22","3","31.4","1.8","13335","0","360.3"
