"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"IOC","31-Dec-2018","31-Jan-2019","CE","92.5","0","0","0","53","0","45.15","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","190","0","0","0","0.25","0.25","0.05","0","0","0","10500","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","97.5","0","0","0","49.15","0","40.2","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","100","0","0","0","47.35","0","37.75","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","102.5","0","0","0","45.55","0","35.25","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","105","0","0","0","43.8","0","32.8","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","107.5","0","0","0","42.1","0","30.4","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","110","0","0","0","26.2","26.2","28","0","0","0","35000","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","112.5","0","0","0","24.15","24.15","25.65","0","0","0","31500","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","115","23.55","23.6","23.55","23.6","23.6","23.6","2","9.7","1.65","42000","-7000","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","117.5","0","0","0","20.8","20.8","21.1","0","0","0","24500","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","120","0","0","0","17.5","17.5","18.95","0","0","0","7000","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","122.5","0","0","0","12.7","12.7","16.9","0","0","0","7000","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","125","0","0","0","13.8","13.8","14.95","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","127.5","0","0","0","12.75","12.75","13.1","0","0","0","38500","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","130","9.35","9.7","8.25","8.3","8.25","8.3","14","68.05","4.35","206500","7000","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","132.5","7.5","7.5","7.5","7.5","7.5","7.5","1","4.9",".26","77000","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","135","6","6.55","5","5.15","5.2","5.15","105","516.77","20.65","675500","-14000","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","137.5","4.7","5.1","3.95","4","4.05","4","66","327.71","10.09","259000","101500","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","140","3.65","3.85","2.85","3","3","3","589","2955.88","69.78","2107000","59500","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","142.5","2.6","2.9","2.1","2.25","2.2","2.25","73","370.25","6.16","409500","91000","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","145","2.4","2.4","1.55","1.65","1.65","1.65","256","1315.27","16.07","1088500","136500","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","147.5","1.35","1.4","1.25","1.25","1.25","1.25","11","57.29",".51","63000","7000","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","150","1","1.1","0.8","0.85","0.85","0.85","284","1500.22","9.22","1900500","185500","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","152.5","0.5","0.65","0.4","0.65","0.65","0.65","4","21.42",".07","56000","-3500","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","155","0.6","0.6","0.45","0.5","0.5","0.5","16","87.09",".29","217000","3500","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","157.5","0","0","0","1.05","1.05","1.45","0","0","0","14000","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","160","0.35","0.35","0.25","0.3","0.25","0.3","34","190.78",".38","259000","-45500","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","162.5","0","0","0","16.25","0","0.9","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","165","0.15","0.15","0.15","0.15","0.15","0.15","2","11.56",".01","3500","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","167.5","0","0","0","14.8","0","0.55","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","170","0","0","0","0.45","0.45","0.45","0","0","0","7000","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","172.5","0","0","0","13.5","0","0.35","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","175","0","0","0","0.7","0.7","0.25","0","0","0","10500","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","177.5","0","0","0","12.35","0","0.2","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","180","0","0","0","11.75","0","0.15","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","182.5","0","0","0","11.25","0","0.1","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","185","0","0","0","10.75","0","0.1","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","187.5","0","0","0","10.25","0","0.05","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","CE","95","0","0","0","51.05","0","42.7","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","92.5","0","0","0","45.35","0","45.75","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","95","0","0","0","43.2","0","43.3","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","97.5","0","0","0","41.1","0","40.9","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","100","0","0","0","39.05","0","38.5","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","102.5","0","0","0","37.05","0","36.15","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","105","0","0","0","35.1","0","33.85","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","107.5","0","0","0","33.2","0","31.55","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","110","0","0","0","31.4","0","29.3","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","112.5","0","0","0","29.6","0","27.15","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","28-Feb-2019","CE","115","0","0","0","27.9","0","25.05","0","0","0","0","0","137.05"
