"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"IOC","31-Dec-2018","31-Jan-2019","PE","92.5","0","0","0","3.55","0","0","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","190","0","0","0","50.8","50.8","51.8","0","0","0","59500","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","97.5","0","0","0","4.65","0","0.05","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","100","0","0","0","5.25","0","0.05","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","102.5","0","0","0","5.9","0","0.05","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","105","0","0","0","6.6","0","0.1","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","107.5","0","0","0","7.35","0","0.15","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","110","0","0","0","0.4","0.4","0.25","0","0","0","98000","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","112.5","0","0","0","9","0","0.4","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","115","0","0","0","0.8","0.8","0.55","0","0","0","17500","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","117.5","0","0","0","10.85","0","0.8","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","120","0.3","0.45","0.3","0.45","0.45","0.45","24","101.12",".32","171500","17500","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","122.5","0","0","0","12.85","0","1.6","0","0","0","0","0","137.05"
"IOC","31-Dec-2018","31-Jan-2019","PE","125","0.65","0.8","0.6","0.8","0.8","0.8","26","114.43",".68","290500","35000","137.05"
