"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","8550","2","3","0.65","2.05","2","2.05","82","525.96",".13","5550","3825","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","8600","2.6","2.6","1.7","1.95","1.7","1.95","73","470.96",".11","56250","-225","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","8650","0","0","0","31.05","0","0","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","8700","2","2","2","2","2","2","3","19.58","0","300","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","8750","0","0","0","38.9","0","0","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","8800","0","0","0","43.4","0","0","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","8850","0","0","0","48.3","0","0","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","8900","3.25","3.8","2.25","3.65","3.65","3.65","16","106.84",".04","1875","825","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","8950","0","0","0","59.4","0","0","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9000","3.5","4.15","3.5","3.9","4","3.9","4588","30982.52","13.52","1433625","46575","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9050","0","0","0","72.4","0","0.05","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9100","2.05","4.45","2","3.9","4","3.9","273","1864.02",".79","16800","10800","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9150","0","0","0","87.45","0","0.05","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9200","4.5","5","4.35","4.7","4.6","4.7","83","572.99",".29","25650","300","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9250","0","0","0","12.95","12.95","0.1","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9300","4.85","5.6","4.65","5.3","5.6","5.3","233","1626.08",".91","45675","900","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9350","0","0","0","124.45","0","0.15","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9400","5.45","5.95","5.4","5.65","5.65","5.65","1703","12013.41","7.26","230325","3975","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9450","0","0","0","146.8","0","0.3","0","0","0","0","0","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9500","6.3","7.1","6","6.7","6.8","6.7","7359","52470.17","37.3","1241025","525","10862.55"
"NIFTY","31-Dec-2018","31-Jan-2019","PE","9550","0","0","0","172.2","0","0.6","0","0","0","0","0","10862.55"
