"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ONGC","31-Dec-2018","31-Jan-2019","CE","112.5","0","0","0","34.8","34.8","38.15","0","0","0","7500","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","205","0","0","0","6.9","0","0","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","117.5","0","0","0","30.05","30.05","33.15","0","0","0","7500","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","120","0","0","0","27.6","27.6","30.7","0","0","0","7500","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","122.5","0","0","0","25.3","25.3","28.25","0","0","0","7500","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","125","0","0","0","38.85","0","25.8","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","127.5","0","0","0","37.1","0","23.35","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","130","16.7","16.7","16.35","16.35","16.35","16.35","3","16.48","1.85","45000","-3750","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","132.5","0","0","0","14.9","14.9","18.65","0","0","0","78750","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","135","11.6","12.5","11.6","12.5","12.5","12.5","3","16.55","1.37","86250","-11250","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","137.5","0","0","0","10.2","9.6","14.25","0","0","0","18750","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","140","7.4","8.7","7.35","8.05","8.05","8.05","27","149.99","8.24","135000","-3750","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","142.5","5.8","6.8","5.8","6.3","5.9","6.3","10","55.79","2.35","63750","-3750","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","145","4.65","5.7","4.6","4.95","4.85","4.95","151","850","28.94","217500","-101250","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","147.5","3.65","4.5","3.5","3.9","3.85","3.9","115","652.79","16.7","172500","15000","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","150","3","3.4","2.65","2.95","2.85","2.95","417","2391.73","46.11","1680000","258750","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","152.5","2.1","2.6","2","2.25","2.2","2.25","81","470.02","6.8","183750","45000","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","155","1.6","1.95","1.5","1.65","1.6","1.65","194","1139.78","12.16","840000","82500","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","157.5","1.45","1.45","1.2","1.25","1.25","1.25","10","59.56",".5","108750","18750","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","160","0.9","1.05","0.8","0.85","0.8","0.85","190","1146.44","6.44","1023750","108750","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","162.5","0.7","0.7","0.7","0.7","0.7","0.7","1","6.12",".03","22500","3750","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","165","0.5","0.6","0.45","0.55","0.55","0.55","24","148.95",".45","146250","45000","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","167.5","0","0","0","16.45","0","0.8","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","170","0.3","0.35","0.3","0.35","0.35","0.35","25","159.66",".29","150000","71250","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","172.5","0","0","0","14.7","0","0.4","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","175","0","0","0","0.2","0.2","0.3","0","0","0","11250","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","177.5","0","0","0","13.15","0","0.2","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","CE","180","0.2","0.2","0.2","0.2","0.2","0.2","2","13.52",".02","45000","7500","149.9"
