"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ONGC","31-Dec-2018","31-Jan-2019","PE","112.5","0","0","0","3.15","0","0","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","205","0","0","0","57","57","53.8","0","0","0","7500","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","117.5","0","0","0","0.6","0.6","0.05","0","0","0","3750","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","120","0","0","0","0.45","0.35","0.05","0","0","0","15000","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","122.5","0","0","0","5.35","0","0.05","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","125","0","0","0","0.5","0.5","0.1","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","127.5","0","0","0","6.7","0","0.15","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","130","0.75","0.75","0.45","0.5","0.5","0.5","24","117.49",".49","202500","-30000","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","132.5","0","0","0","8.3","0","0.4","0","0","0","0","0","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","135","1.25","1.25","0.85","0.95","0.95","0.95","19","96.92",".73","285000","26250","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","137.5","1.6","1.6","1.2","1.2","1.2","1.2","5","26.04",".26","37500","7500","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","140","2.3","2.5","1.7","1.9","1.9","1.9","108","575.32","8.32","480000","60000","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","142.5","3.3","3.3","2.45","2.75","2.7","2.75","27","147.21","2.93","75000","-15000","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","145","4.65","4.65","3.3","3.85","3.8","3.85","132","736.97","19.22","273750","-60000","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","147.5","5.85","5.85","4.55","5.1","5.1","5.1","34","194.54","6.48","112500","-33750","149.9"
"ONGC","31-Dec-2018","31-Jan-2019","PE","150","7.35","7.75","6","6.8","7","6.8","49","288.38","12.75","262500","52500","149.9"
