"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","105","0","0","0","63.8","0","68.4","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","265","0","0","0","0.05","0.05","0","0","0","0","40000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","115","0","0","0","55.25","0","58.45","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","120","0","0","0","51.15","0","53.5","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","125","0","0","0","47.25","0","48.55","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","130","0","0","0","43.55","0","43.6","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","135","0","0","0","40","0","38.7","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","140","0","0","0","32","32","33.85","0","0","0","4000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","145","0","0","0","33.55","0","29.15","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","150","0","0","0","23.45","23.45","24.65","0","0","0","14000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","155","20.95","20.95","19.8","19.8","19.8","19.8","3","10.51","1.21","12000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","160","17.45","17.45","16","16.55","16.55","16.55","11","38.86","3.66","196000","18000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","165","12.7","13.6","12.2","12.55","12.6","12.55","19","67.59","4.89","66000","12000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","170","9.65","10.45","9.05","9.65","9.85","9.65","761","2735.24","147.84","972000","44000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","175","6.85","7.75","6.5","7","7.15","7","640","2330.41","90.41","726000","94000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","180","5.95","5.95","4.65","5","5","5","1343","4970.78","135.98","2296000","284000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","185","3.45","3.9","3.2","3.45","3.5","3.45","384","1447.52","26.72","692000","130000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","190","2.55","2.7","2.2","2.35","2.35","2.35","970","3732.69","46.69","1744000","340000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","195","1.7","1.85","1.5","1.6","1.65","1.6","121","475.92","4.02","324000","26000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","200","1.25","1.35","1.1","1.15","1.2","1.15","589","2370.26","14.26","2244000","84000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","205","0.8","0.95","0.75","0.85","0.85","0.85","41","168.8",".7","130000","28000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","210","0.65","0.7","0.55","0.6","0.6","0.6","237","998.38","2.98","708000","38000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","215","0.45","0.5","0.45","0.45","0.45","0.45","43","185.32",".42","78000","36000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","220","0.4","0.4","0.35","0.35","0.35","0.35","76","334.95",".55","348000","24000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","225","0.3","0.3","0.3","0.3","0.3","0.3","4","18.02",".02","12000","2000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","230","0.25","0.25","0.2","0.25","0.25","0.25","9","41.44",".04","42000","10000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","235","0.25","0.25","0.25","0.25","0.25","0.25","1","4.71",".01","2000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","240","0.15","0.15","0.15","0.15","0.15","0.15","1","4.8","0","22000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","245","0.1","0.1","0.1","0.1","0.1","0.1","1","4.9","0","2000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","250","0.15","0.15","0.1","0.15","0.15","0.15","11","55.03",".03","142000","-8000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","255","0","0","0","3.2","0","0","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","260","0.15","0.15","0.15","0.15","0.15","0.15","2","10.41",".01","80000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","CE","110","0","0","0","58","58","63.4","0","0","0","2000","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","105","0","0","0","74.35","0","69","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","110","0","0","0","69.5","0","64.05","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","115","0","0","0","64.75","0","59.15","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","120","0","0","0","60.05","0","54.25","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","125","0","0","0","55.45","0","49.4","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","130","0","0","0","51","0","44.65","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","135","0","0","0","46.65","0","39.95","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","140","0","0","0","42.5","0","35.45","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","145","0","0","0","38.5","0","31.1","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","150","0","0","0","34.7","0","27","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","155","0","0","0","31.15","0","23.2","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","160","20","20","20","20","20","20","1","3.6",".4","6000","2000","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","165","0","0","0","24.7","0","16.55","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","170","0","0","0","12.95","12.95","13.7","0","0","0","36000","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","175","0","0","0","19.25","0","11.25","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","180","0","0","0","12","12","9.1","0","0","0","58000","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","185","0","0","0","14.75","0","7.3","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","190","0","0","0","5.7","5.7","5.8","0","0","0","2000","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","195","0","0","0","11.15","0","4.55","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","200","3.9","4.05","3.6","3.6","3.6","3.6","8","32.62",".62","130000","12000","172.7"
"TATAMOTORS","31-Dec-2018","28-Feb-2019","CE","205","0","0","0","8.25","0","2.75","0","0","0","0","0","172.7"
