"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","105","0","0","0","1.35","0","0","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","265","0","0","0","91.05","91.05","90.65","0","0","0","866000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","115","0","0","0","2.6","0","0","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","120","0","0","0","0.25","0.25","0","0","0","0","6000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","125","0","0","0","4.4","0","0.05","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","130","0","0","0","5.6","0","0.05","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","135","0","0","0","0.95","0.95","0.15","0","0","0","0","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","140","0.6","0.65","0.55","0.55","0.55","0.55","28","78.73",".33","272000","-6000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","145","0.75","0.85","0.75","0.85","0.85","0.85","21","61.24",".34","30000","20000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","150","1.2","1.3","1.1","1.2","1.15","1.2","277","837.75","6.75","544000","76000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","155","1.8","1.95","1.7","1.85","1.8","1.85","139","436.01","5.11","164000","-14000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","160","2.85","2.95","2.55","2.75","2.6","2.75","426","1386.58","23.38","514000","-10000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","165","4.45","4.45","3.8","4.05","4","4.05","507","1714.64","41.54","520000","50000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","170","6","6.3","5.5","5.85","5.7","5.85","810","2849.22","95.22","920000","160000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","175","7.75","8.65","7.7","8.15","8.1","8.15","160","586.15","26.15","366000","86000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","180","11.4","11.55","10.7","11","10.95","11","26","99.35","5.75","224000","10000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","185","14.2","14.2","14.2","14.2","14.2","14.2","1","3.98",".28","100000","-2000","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","190","17.8","17.8","17.8","17.8","17.8","17.8","1","4.16",".36","92000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","195","0","0","0","24","24","23.05","0","0","0","8000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","200","26.35","27.55","26.35","27.35","27.35","27.35","4","18.18","2.18","472000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","205","0","0","0","33.95","33.95","31.9","0","0","0","2000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","210","0","0","0","38.9","38.9","36.55","0","0","0","68000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","215","0","0","0","42.05","42.05","41.3","0","0","0","6000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","220","0","0","0","50.25","50.5","46.15","0","0","0","84000","0","172.7"
"TATAMOTORS","31-Dec-2018","31-Jan-2019","PE","225","0","0","0","52.75","52.75","51","0","0","0","10000","0","172.7"
