Maturity,Strike Price,Option Price,Volatility
31-Jan-2019,240,106.65,4.160003856282153e+166
31-Jan-2019,470,5.2,2.3858856667869746
31-Jan-2019,260,89.35,2.6739168108308504e+180
31-Jan-2019,270,81.2,4.043319898518744e+182
31-Jan-2019,280,73.45,-2.250632800837309e+177
31-Jan-2019,290,66.15,-2.6126544532755304e+178
31-Jan-2019,300,55.0,-6.495865871454631e+177
31-Jan-2019,310,52.85,-1.4074841411919717e+178
31-Jan-2019,320,37.35,1.3593993093567461e+185
31-Jan-2019,330,29.6,3.3649862294209725
31-Jan-2019,340,22.1,3.00982355121157
31-Jan-2019,350,15.7,2.686065226651065
31-Jan-2019,360,10.8,2.414064940399048
31-Jan-2019,370,7.15,2.1833516231573595
31-Jan-2019,380,4.55,1.9864033755480286
31-Jan-2019,390,2.85,1.8285657479546076
31-Jan-2019,400,1.75,1.6984807813190876
31-Jan-2019,410,1.2,1.6227829310756576
31-Jan-2019,420,0.8,1.555096912725864
31-Jan-2019,430,9.9,2.6553482488162388
31-Jan-2019,440,8.45,2.579087188318075
31-Jan-2019,450,7.2,2.5099696948338774
31-Jan-2019,460,6.1,2.444052336133803
31-Jan-2019,250,97.85,-4.6525951548276856e+165
28-Feb-2019,240,104.25,-7.554709809431059e+162
28-Feb-2019,250,94.9,-1.1309231877645997e+163
28-Feb-2019,260,85.75,1.8045673479887417e+181
28-Feb-2019,270,76.9,2.9230469811456224e+183
28-Feb-2019,280,68.4,-1.1678031971461722e+178
28-Feb-2019,290,60.4,-4.546091263054165e+166
28-Feb-2019,300,52.85,-3.9963102961319744e+180
28-Feb-2019,310,45.85,-4.541913221702964e+178
28-Feb-2019,320,39.45,-1.1560619309901114e+178
28-Feb-2019,330,33.65,9.404826571233919e+186
28-Feb-2019,340,28.5,2.4339204867306443
28-Feb-2019,350,23.9,2.2914830290041834
28-Feb-2019,360,19.95,2.1664348337707864
28-Feb-2019,370,16.5,2.0531272139681707
28-Feb-2019,380,13.55,1.9516460589124545
28-Feb-2019,390,11.05,1.8607088323599525
28-Feb-2019,400,8.95,1.7790240351065139
28-Feb-2019,410,7.2,1.7052682648850266
28-Feb-2019,420,5.75,1.638163339203462
28-Feb-2019,430,4.6,1.579720065948647
28-Feb-2019,440,3.65,1.5266694253924507
28-Feb-2019,450,2.85,1.475172765580178
28-Feb-2019,460,2.25,1.432780863350396
28-Feb-2019,470,1.75,1.3902239932018507
28-Mar-2019,240,121.0,-8.441966475726668e+153
28-Mar-2019,470,2.05,1.1735428113038546
28-Mar-2019,260,101.75,-2.6406652854949616e+164
28-Mar-2019,270,92.35,-3.241989097192041e+170
28-Mar-2019,280,83.15,2.566089152262584e+182
28-Mar-2019,290,74.25,-1.7957672468560506e+177
28-Mar-2019,300,65.7,-3.1111866123739286e+178
28-Mar-2019,310,57.6,-3.9649515030341353e+182
28-Mar-2019,320,50.05,-2.0878366614002032e+183
28-Mar-2019,330,43.05,-1.3676278775564755e+179
28-Mar-2019,340,36.65,-2.0371791219922697e+178
28-Mar-2019,350,30.9,-1.5116734625384158e+176
28-Mar-2019,360,25.85,1.9802662691375579
28-Mar-2019,370,21.35,1.8594985356134706
28-Mar-2019,380,17.5,1.752750440198609
28-Mar-2019,390,14.25,1.658430050038569
28-Mar-2019,400,11.45,1.571711264170021
28-Mar-2019,410,9.2,1.4973411072919944
28-Mar-2019,420,7.25,1.4266591912587843
28-Mar-2019,430,5.7,1.364805555253354
28-Mar-2019,440,4.45,1.3088082108507546
28-Mar-2019,450,3.45,1.2593618675710365
28-Mar-2019,460,2.65,1.212477285903249
28-Mar-2019,250,111.35,7.66104673731524e+164
