Maturity,Strike Price,Option Price,Volatility
31-Jan-2019,92.5,3.55,1.0483337455144754
31-Jan-2019,190.0,50.8,-2.3169049998308055e+70
31-Jan-2019,97.5,4.65,1.022838600923934
31-Jan-2019,100.0,5.25,1.0055243027010596
31-Jan-2019,102.5,5.9,0.9882929712719276
31-Jan-2019,105.0,6.6,0.9707354586793636
31-Jan-2019,107.5,7.35,0.9523295148094089
31-Jan-2019,110.0,0.4,0.2329249185510021
31-Jan-2019,112.5,9.0,0.912586271239322
31-Jan-2019,115.0,0.8,0.1808717402692277
31-Jan-2019,117.5,10.85,0.8677581146232005
31-Jan-2019,120.0,0.45,0.01406521129596086
31-Jan-2019,122.5,12.85,0.8126022355626347
31-Jan-2019,125.0,0.8,-0.011110992741992815
31-Jan-2019,127.5,1.2,0.0282155438700053
31-Jan-2019,130.0,1.75,0.06644429433018212
31-Jan-2019,132.5,2.55,-3.640138195014438e+34
31-Jan-2019,135.0,3.5,-10.901489191360982
31-Jan-2019,137.5,4.75,0.0839800874034835
31-Jan-2019,140.0,6.2,-0.1481709320683895
31-Jan-2019,142.5,5.25,-0.10265431188053409
31-Jan-2019,145.0,9.9,2.4878808367601814e+119
31-Jan-2019,147.5,25.75,1.020815655369707
31-Jan-2019,150.0,11.95,1.786139417412847
31-Jan-2019,152.5,28.85,0.8187129940287798
31-Jan-2019,155.0,20.0,5.21557494984129e+136
31-Jan-2019,157.5,32.05,4.761427985201924
31-Jan-2019,160.0,26.0,3.3465374902935874e+156
31-Jan-2019,162.5,35.4,6.3308072084771176e+122
31-Jan-2019,165.0,37.15,-4.021250773990406e+64
31-Jan-2019,167.5,38.9,1.543060307164331e+143
31-Jan-2019,170.0,35.5,-7.567780704912111e+156
31-Jan-2019,172.5,42.5,1.193348015230457e+138
31-Jan-2019,175.0,39.0,-3.1874465990348505e+158
31-Jan-2019,177.5,46.2,-1.2490827224355337e+132
31-Jan-2019,180.0,48.1,4.947369842341128e+137
31-Jan-2019,182.5,50.0,2.347902142896229e+139
31-Jan-2019,185.0,46.9,-0.8481650518153572
31-Jan-2019,187.5,53.9,8.49184296722762e+137
31-Jan-2019,95.0,4.05,1.0289653702110162
28-Feb-2019,92.5,1.3,0.5452347892662033
28-Feb-2019,95.0,1.6,0.536169415654262
28-Feb-2019,97.5,1.95,0.5261301705791591
28-Feb-2019,100.0,2.35,0.5180259492370219
28-Feb-2019,102.5,2.8,0.506964152148025
28-Feb-2019,105.0,3.3,0.49497039700320883
28-Feb-2019,107.5,3.85,0.48179284095547403
28-Feb-2019,110.0,4.5,0.4703220728454936
28-Feb-2019,112.5,5.2,0.4567200942482703
28-Feb-2019,115.0,5.95,0.44065482770166187
28-Feb-2019,117.5,6.75,0.42204944234338176
28-Feb-2019,120.0,7.65,0.4031232900865757
28-Feb-2019,122.5,8.6,0.38074493171478124
28-Feb-2019,125.0,9.6,0.3537243231995044
28-Feb-2019,127.5,10.7,0.3232304324464603
28-Feb-2019,130.0,11.85,0.282712274952764
28-Feb-2019,132.5,13.05,0.21783729301438068
28-Feb-2019,135.0,5.0,0.8933954997273097
28-Feb-2019,137.5,15.7,-0.03235451641496856
28-Feb-2019,140.0,17.1,1.1390570619389928
28-Feb-2019,142.5,18.55,0.07730987916278374
28-Feb-2019,145.0,20.05,-3.0664627663925743
28-Feb-2019,147.5,21.65,0.08865987334106096
28-Feb-2019,150.0,23.25,0.17155302903794983
28-Feb-2019,152.5,24.9,0.08292441910634618
28-Feb-2019,155.0,26.65,0.0875107644305625
28-Feb-2019,157.5,28.4,-0.11025809446028223
28-Feb-2019,160.0,30.25,2.628502832085098e+111
28-Feb-2019,162.5,32.1,-1.9087459664122865e+144
28-Feb-2019,165.0,34.0,2.170653148610442
28-Feb-2019,167.5,35.95,-1.2769295850094394e+131
28-Feb-2019,170.0,37.9,-4.923555556739639e+123
28-Feb-2019,172.5,39.9,0.06397136968837103
28-Feb-2019,175.0,41.95,0.06269050728785941
28-Feb-2019,177.5,44.0,0.05735173012066297
28-Feb-2019,180.0,46.1,0.04927782929660496
28-Feb-2019,182.5,48.2,0.03944451120415371
28-Feb-2019,185.0,50.35,1.5287128480443523e+83
28-Mar-2019,95.0,0.5,0.3250219557284955
28-Mar-2019,185.0,48.95,-3.1166009919109663e+144
28-Mar-2019,105.0,1.45,0.29534465102012836
28-Mar-2019,110.0,2.25,0.2752559816698956
28-Mar-2019,115.0,3.35,0.251935550320236
28-Mar-2019,120.0,4.7,0.21450047701212394
28-Mar-2019,125.0,6.45,0.16334231371403843
28-Mar-2019,130.0,8.5,0.3789694129775562
28-Mar-2019,135.0,10.9,0.10705221713135818
28-Mar-2019,140.0,13.65,0.16696370015308615
28-Mar-2019,145.0,16.7,-0.09775822936909495
28-Mar-2019,150.0,20.0,-0.2848667479102105
28-Mar-2019,155.0,23.6,-0.9907384030226947
28-Mar-2019,160.0,27.45,-5.805694410243352e+155
28-Mar-2019,165.0,31.45,-1.0674884369567703
28-Mar-2019,170.0,35.65,-3.0236807432622486e+92
28-Mar-2019,175.0,39.95,-0.03198722951341315
28-Mar-2019,180.0,44.4,6.76603078860257e+134
28-Mar-2019,100.0,0.9,0.31336225192958145
