Maturity,Strike Price,Option Price,Volatility
31-Jan-2019,112.5,3.15,0.695896329502174
31-Jan-2019,205.0,57.0,-2.5046960858227174
31-Jan-2019,117.5,0.6,0.3086217339883589
31-Jan-2019,120.0,0.45,0.24479638306324147
31-Jan-2019,122.5,5.35,0.6163877927132619
31-Jan-2019,125.0,0.5,0.1657173846353538
31-Jan-2019,127.5,6.7,0.563377916471339
31-Jan-2019,130.0,0.5,0.06537822720600524
31-Jan-2019,132.5,8.3,0.5015049913290341
31-Jan-2019,135.0,0.95,-0.6829707445280647
31-Jan-2019,137.5,1.2,0.22746434072655417
31-Jan-2019,140.0,1.9,0.007512179023776044
31-Jan-2019,142.5,2.75,0.005246224519770942
31-Jan-2019,145.0,3.85,-0.13066042728814226
31-Jan-2019,147.5,5.1,0.031065826825649415
31-Jan-2019,150.0,6.8,-1.39240018561225
31-Jan-2019,152.5,8.25,-0.06375245370003396
31-Jan-2019,155.0,10.35,-2.558914234735816
31-Jan-2019,157.5,13.15,0.03500844579348511
31-Jan-2019,160.0,14.65,0.13200918630026837
31-Jan-2019,162.5,16.25,0.15652071056661176
31-Jan-2019,165.0,18.2,3.516488528781681e+120
31-Jan-2019,167.5,21.2,-1.4005065154349797e+64
31-Jan-2019,170.0,24.3,3.336068258373679e+135
31-Jan-2019,172.5,25.65,3.076012765730743e+151
31-Jan-2019,175.0,28.0,4.574152105380744e+158
31-Jan-2019,177.5,30.35,-8.09369745823458e+137
31-Jan-2019,180.0,35.25,-1.0629168656305676e+58
31-Jan-2019,182.5,35.05,0.7167114245815749
31-Jan-2019,185.0,37.05,1.5367649139738112e+148
31-Jan-2019,187.5,38.85,8.602970838455864e+155
31-Jan-2019,190.0,42.1,-0.9276254163327025
31-Jan-2019,192.5,44.6,7.189730006275419e+121
31-Jan-2019,195.0,58.0,1.6015976535719874
31-Jan-2019,197.5,46.5,1.892524156112995e+122
31-Jan-2019,200.0,53.25,0.05459152276173285
31-Jan-2019,202.5,54.4,-1.2337646153157758e+125
31-Jan-2019,115.0,3.6,0.6750786960308056
28-Feb-2019,112.5,1.5,0.3849803471347782
28-Feb-2019,115.0,1.9,0.3789722943623414
28-Feb-2019,117.5,2.35,0.37108995507262177
28-Feb-2019,120.0,2.85,0.3613381388317415
28-Feb-2019,122.5,3.45,0.35214076279988504
28-Feb-2019,125.0,4.1,0.33991445906179246
28-Feb-2019,127.5,4.85,0.32686723971350895
28-Feb-2019,130.0,1.5,0.10693869629428239
28-Feb-2019,132.5,6.6,0.2956039360340784
28-Feb-2019,135.0,7.6,0.2752777737355898
28-Feb-2019,137.5,8.65,0.25091021346966147
28-Feb-2019,140.0,9.85,0.21619318792837233
28-Feb-2019,142.5,11.1,0.15504173342967897
28-Feb-2019,145.0,12.45,-0.04389705540267577
28-Feb-2019,147.5,13.85,0.03952460819137388
28-Feb-2019,150.0,15.4,-0.9509320730453807
28-Feb-2019,152.5,16.95,1.3630044981503537
28-Feb-2019,155.0,18.6,0.0010713945129633765
28-Feb-2019,157.5,20.3,0.005232555705471015
28-Feb-2019,160.0,22.1,1.944680439201016
28-Feb-2019,162.5,23.95,2.4705012989012348e+129
28-Feb-2019,165.0,25.85,0.17177200944944654
28-Feb-2019,167.5,27.8,0.18452978058027358
28-Feb-2019,170.0,29.8,0.09869419895775133
28-Feb-2019,172.5,31.85,0.0010476138045070194
28-Feb-2019,175.0,33.95,-8.67866444850338e+101
28-Feb-2019,177.5,36.1,-1.093375013346483
28-Feb-2019,180.0,38.25,0.27670325902265
28-Feb-2019,182.5,40.45,4.436932247815706e+112
28-Feb-2019,185.0,42.65,1.1675885386776627e+145
28-Feb-2019,187.5,44.9,-12.108918351473806
28-Feb-2019,190.0,47.2,1.285822645006833e+156
28-Mar-2019,115.0,0.35,0.19335743259168583
28-Mar-2019,190.0,37.85,8.735711004507074e+148
28-Mar-2019,125.0,1.1,0.14558209815947354
28-Mar-2019,130.0,1.85,0.11124959807249789
28-Mar-2019,135.0,2.9,0.04001956658238586
28-Mar-2019,140.0,4.3,0.05160238286584154
28-Mar-2019,145.0,6.1,-0.044105670078639345
28-Mar-2019,150.0,8.3,3.890931252967788
28-Mar-2019,155.0,10.9,-0.12377970281147913
28-Mar-2019,160.0,13.9,0.01801519284273878
28-Mar-2019,165.0,17.25,0.1011391271116392
28-Mar-2019,170.0,20.9,-2.7932101509492856e+64
28-Mar-2019,175.0,24.85,3.420170420076781e+87
28-Mar-2019,180.0,29.0,2.6495176832353298e+140
28-Mar-2019,185.0,33.35,-9.937002718747047e+98
28-Mar-2019,120.0,0.65,0.17339059612390081
